,HS1r,HS2r,HSl,TOr,TO1l,TO2l
S01_0002_Gait,0.06419452887537994,1.139452887537994,0.6058358662613982,0.750273556231003,0.2246808510638298,1.2838905775075986
S01_0003_Gait,0.024076677316293926,1.079437699680511,0.5537635782747603,0.6942108626198082,0.17254952076677316,1.231923322683706
S01_0004_Gait,0.012037617554858934,1.111473354231975,0.553730407523511,0.7062068965517242,0.17253918495297807,1.2519122257053292
S01_0005_Gait,0.040123839009287926,1.0873560371517028,0.5697585139318886,0.7061795665634676,0.19259442724458206,1.2358142414860682
S01_0006_Gait,0.01605111821086262,1.0995015974440894,0.5617891373801916,0.6982236421725239,0.16853674121405748,1.2479744408945685
S01_0008_Gait,0.060176991150442484,1.1433628318584073,0.6057817109144543,0.7622418879056048,0.22867256637168143,1.3078466076696167
S01_0009_Gait,0.11633918128654973,1.1553684210526318,0.6418713450292399,0.7862923976608188,0.24872514619883046,1.3158362573099418
S01_0010_Gait,0.05615864022662889,1.123172804532578,0.5936770538243626,0.7420963172804532,0.20858923512747876,1.2635694050991502
S01_0011_Gait,0.10429050279329609,1.1632402234636872,0.6417877094972068,0.7821787709497207,0.25270391061452513,1.3236871508379888
S01_0012_Gait,0.07222500000000001,1.1194875000000002,0.601875,0.7342875000000001,0.2287125,1.2559125000000002
S01_0013_Gait,0.06418390804597701,1.1432758620689656,0.6137586206896551,0.7501494252873563,0.2406896551724138,1.303735632183908
S01_0014_Gait,0.1082950819672131,1.2193224043715845,0.6738360655737704,0.8222404371584698,0.2807650273224043,1.3837704918032785
S01_0015_Gait,0.12835854341736694,1.2113837535014005,0.665859943977591,0.822296918767507,0.2847955182072829,1.3517759103641456
S01_0016_Gait,0.12836056338028168,1.2194253521126759,0.6939492957746478,0.8423661971830985,0.29683380281690136,1.3798760563380281
S01_0017_Gait,0.08824242424242423,1.1952837465564736,0.6578071625344352,0.7981928374655647,0.26873829201101923,1.3517134986225894
S01_0018_Gait,0.10829834254143646,1.187270718232044,0.6497900552486188,0.8062209944751381,0.2647292817679558,1.3517237569060774
S01_0019_Gait,0.11632044198895028,1.2033149171270718,0.6538011049723756,0.8142430939226519,0.2727513812154696,1.3597458563535911
S01_0020_Gait,0.10028490028490028,1.1713276353276354,0.6418233618233617,0.7822222222222222,0.2567293447293447,1.3197492877492878
S01_0021_Gait,0.14840217391304347,1.219304347826087,0.6858586956521739,0.83025,0.30883695652173915,1.3677065217391304
