Speed,QS phase,intercept,stiffness,MSE,R2
Natural_y,ERP,-0.005725463201712522,1.8010076923906584,0.0004164648495587533,0.9711313568119965
Natural_y,LRP,-0.6679764762639203,6.4807736363546935,0.0002869870818100977,0.9950164277112004
Natural_y,DP,0.6497059032820104,2.0034094509084803,0.0003113841946873628,0.9979933056575067
Xsy,ERP,0.0027590975462166156,2.2167729402936724,0.0009386876320714833,0.950189682784041
Xsy,LRP,-0.44192553020784764,6.064201518120547,0.00011457480619113076,0.9985087643995593
Xsy,DP,0.4785536073455518,2.7388228559148713,0.00158565673682369,0.9918012865968865
Sy,ERP,-0.0015393891321841685,1.928267725360635,0.0006387920314082032,0.9621776139320886
Sy,LRP,-0.531761385482561,5.780581500706786,0.0008095436970366835,0.9871134952763015
Sy,DP,0.5911450028362082,2.2110979332004432,0.000336053912421258,0.9979894317581176
My,ERP,0.01917327209435439,1.9366716280503231,0.00029345657705308846,0.9805728198854088
My,LRP,-0.6196855603126445,6.792604904773844,0.00035023591357910056,0.9924708222540042
My,DP,0.6699992484741644,1.9567389755853026,0.0004390293944752391,0.9968470978144837
Ly,ERP,-0.07083082737881473,0.13221543914720263,4.6519148329316845e-06,0.703105395285794
Ly,LRP,-0.06915945582737332,3.431997001226443,0.016844797594572098,0.8269752947437079
Ly,DP,0.7412996801980452,1.7817165237693005,0.0024412827594782883,0.978432097241071
Toe_y,ERP,0.22889124559456064,2.38524470458806,0.0007370257688251574,0.9875314319812593
Toe_y,LRP,0.22985387994886852,2.6475846320553567,0.0008261662627940399,0.8913009420220452
Toe_y,DP,0.28425706979703774,2.7615588581206425,5.446085891487185e-05,0.9992893717083324
Heel_y,ERP,-0.06860612663410214,1.1501386898000505,3.1304721018627565e-05,0.9621996519253417
Heel_y,LRP,-0.09428742814036253,0.9298450426425112,2.9538973768206403e-06,0.994372890445769
Heel_y,DP,-0.06994689524119897,0.536702255477801,8.956809104188457e-05,0.8721244316306997
Ascending_y,ERP,0.022630175113817708,1.7873752630084505,0.0007121253005155408,0.9449089316811802
Ascending_y,LRP,0.8197200774939484,-2.1789378297048008,0.003982660775949217,0.6686446766395062
Ascending_y,DP,0.9285490515533987,1.6555468290745594,0.007020779248417412,0.9291552483712304
Descending_y,ERP,0.7160979294072181,0.053546798634945054,0.004040134715128951,0.009752400082653767
Descending_y,LRP,-0.8731207441943077,2.1263728818806684,0.00010503011317289788,0.9839414564895743
Descending_y,DP,-0.8518141853996455,2.012409580321639,0.003180110112545268,0.9655916415534916
Natural_a,ERP,0.05898186410808687,2.1636920882871613,0.0015725389564113298,0.9399050766107386
Natural_a,LRP,-0.6549667044997747,7.197412191632835,0.00037828113711412973,0.9931992067744702
Natural_a,DP,0.7322893410702724,2.1647113684408943,0.0012167459103177665,0.99365687155561
Xsa,ERP,0.040118953047738784,1.6510965985606723,0.0006441484371498752,0.9548485733973698
Xsa,LRP,-0.49075125146356247,5.466484836701065,0.0003952959702209068,0.9939135505368067
Xsa,DP,0.5222858351571698,2.2888682009130843,0.0026446130294858023,0.9869297827986895
Sa,ERP,0.049331711172355644,2.1574176918136274,0.0010302124070308341,0.9562144340605307
Sa,LRP,-0.6124038038037974,7.0691060860635435,0.0003505265689466514,0.9939608381382035
Sa,DP,0.696585812495373,2.2871128774641263,0.0012233890880801437,0.9934747846717319
Ma,ERP,-0.04935340636549368,0.1336485230057947,7.603375792804288e-06,0.7424428592553767
Ma,LRP,0.06088885702892577,3.855912388660719,0.018157087523198154,0.8703975023257923
Ma,DP,0.8631250168206411,2.086284639556592,0.0013533221616809895,0.9919703078644942
La,ERP,-0.08234140030896546,0.1866841410576187,6.566356826622734e-06,0.8876619868249811
La,LRP,0.0006764672681335571,2.1544008668513053,0.00555331250979843,0.8560836961247402
La,DP,0.8585197711140022,1.0269795276933578,0.051540684587400694,0.40204551691628077
Toe_a,ERP,0.1675615742585973,2.47239282474336,0.0023610704090162157,0.9717010454093944
Toe_a,LRP,0.04429231343959761,3.016694514381486,0.00011550894813326319,0.9933554345349442
Toe_a,DP,0.26711492545392695,2.5238549926928493,0.0009368578352679036,0.98545566017823
Heel_a,ERP,-0.06878585187994482,1.4541729889017792,9.756434577601656e-05,0.9243582116490806
Heel_a,LRP,-0.12075604736566922,0.5706408815120237,7.463434280506342e-05,0.7547342517598324
Heel_a,DP,-0.11799787938689155,1.0049921709048986,0.00011535495972936459,0.9174029938310025
Ascending_a,ERP,-0.018483648790144497,1.6456656423260045,0.0009500726370292485,0.9416809099270096
Ascending_a,LRP,0.9174742565089291,-2.199593408756865,0.008100823537087645,0.5040669712714115
Ascending_a,DP,0.8942543193596866,1.7313353333829538,0.005238574317231391,0.9502292059588101
Descending_a,ERP,1.059749465574317,-0.3241093571018588,0.001635182648677901,0.27192167353774
Descending_a,LRP,-1.1784623285436773,2.6819946318973735,1.9328179460848175e-05,0.9977231350152792
Descending_a,DP,-1.3537781882694249,2.7608595509152334,0.0027772416981746715,0.975742732778092
