subject,speed,point 0,point 1,point 2,point 3,point 4,point 5
Subject8,0.29237199999999997,0,11,69,146,205,278
Subject8,0.38960300000000003,0,10,79,123,167,237
Subject8,0.404684,0,9,74,121,164,236
Subject8,0.43572299999999997,0,10,56,117,196,273
Subject8,0.43811300000000003,0,18,63,126,202,270
Subject8,0.44651899999999994,0,18,69,140,209,278
Subject8,0.44910600000000006,0,18,65,123,199,265
Subject8,0.667532,0,14,85,133,197,244
Subject8,0.667874,0,16,83,126,198,249
Subject8,0.698705,0,13,57,139,196,242
Subject8,0.713487,0,17,60,140,197,247
Subject8,0.7595029999999999,0,13,56,140,201,247
Subject8,0.767149,0,12,77,124,195,245
Subject8,0.982466,0,14,63,107,190,249
Subject8,1.003678,0,12,77,122,193,250
Subject8,1.198067,0,10,69,125,186,244
Subject8,1.204004,0,11,77,121,187,240
Subject8,1.227215,0,11,83,126,191,248
Subject8,1.237424,0,11,86,130,193,252
Subject8,1.244163,0,12,63,124,185,244
Subject8,1.315823,0,12,87,130,191,251
Subject8,1.3395540000000001,0,14,69,114,185,246
Subject8,1.4649729999999999,0,10,72,125,186,248
Subject8,1.509792,0,12,82,125,182,239
