subject,speed,point 0,point 1,point 2,point 3,point 4,point 5
Subject43,0.759167,0,7,54,120,189,249
Subject43,0.792723,0,16,53,121,185,248
Subject43,0.8542549999999999,0,7,60,128,188,241
Subject43,0.939599,0,12,60,124,182,244
Subject43,0.9758450000000001,0,10,60,119,191,269
Subject43,1.016334,0,14,99,131,187,265
Subject43,1.0336,0,17,63,112,187,265
Subject43,1.063444,0,7,51,113,187,262
Subject43,1.0763040000000001,0,28,79,129,187,259
Subject43,1.111629,0,7,96,128,196,267
Subject43,1.43331,0,76,107,138,185,263
Subject43,1.453168,0,7,76,120,186,252
Subject43,1.459819,0,19,69,112,185,271
Subject43,1.464444,0,8,72,120,184,267
Subject43,1.522951,0,64,117,176,207,240
Subject43,1.5492860000000002,0,18,73,126,190,273
Subject43,1.690123,0,18,64,95,176,270
Subject43,1.725507,0,18,76,109,182,270
Subject43,1.761659,0,14,60,104,178,269
