subject,speed,point 0,point 1,point 2,point 3,point 4,point 5
Subject46,0.6507430000000001,0,24,62,130,192,242
Subject46,0.684888,0,13,87,123,194,246
Subject46,0.724985,0,14,97,133,196,248
Subject46,0.748912,0,16,65,127,194,247
Subject46,1.018667,0,12,87,130,191,246
Subject46,1.0261770000000001,0,18,90,127,192,249
Subject46,1.097383,0,13,87,125,194,251
Subject46,1.123497,0,18,65,125,191,250
Subject46,1.154773,0,20,59,122,189,242
Subject46,1.196613,0,16,91,124,190,248
Subject46,1.204069,0,14,55,122,189,247
Subject46,1.223052,0,21,62,125,190,262
Subject46,1.2303030000000001,0,18,62,124,190,248
Subject46,1.315474,0,11,90,124,186,245
