subject,speed,point 0,point 1,point 2,point 3,point 4,point 5
Subject6,0.777065,0,16,71,144,196,252
Subject6,0.905852,0,13,55,129,188,245
Subject6,0.95424,0,17,84,145,194,244
Subject6,1.27862,0,17,84,137,183,241
Subject6,1.2981719999999999,0,16,81,132,182,245
Subject6,1.314543,0,18,81,136,187,239
Subject6,1.3194780000000002,0,13,68,138,184,238
Subject6,1.33194,0,14,75,118,183,242
Subject6,1.340141,0,10,68,120,184,249
Subject6,1.3413760000000001,0,38,74,122,181,244
Subject6,1.349414,0,38,69,124,182,243
Subject6,1.447233,0,16,82,116,184,243
Subject6,1.4705979999999998,0,14,46,80,127,182
Subject6,1.944146,0,14,77,123,174,244
Subject6,1.9954560000000001,0,14,70,101,173,238
Subject6,2.065132,0,13,71,123,176,239
Subject6,2.066991,0,18,73,104,178,247
Subject6,2.077589,0,15,73,129,177,238
Subject6,2.115945,0,16,69,108,176,249
Subject6,2.117986,0,14,69,123,178,238
Subject6,2.149475,0,14,70,114,171,245
