subject,speed,point 0,point 1,point 2,point 3,point 4,point 5
Subject7,0.8149390000000001,0,17,55,100,193,251
Subject7,0.8269190000000001,0,16,71,129,198,263
Subject7,0.8591049999999999,0,13,71,109,191,244
Subject7,0.8784200000000001,0,28,103,140,201,252
Subject7,0.894789,0,15,98,135,187,244
Subject7,0.9110229999999999,0,24,68,136,199,243
Subject7,0.914105,0,22,97,139,198,274
Subject7,0.9166790000000001,0,15,68,105,191,239
Subject7,0.9380809999999999,0,22,59,132,194,256
Subject7,0.95994,0,15,65,104,189,245
Subject7,1.019061,0,18,59,125,192,254
Subject7,1.0311059999999999,0,18,62,132,194,242
Subject7,1.038065,0,20,58,97,189,252
Subject7,1.04366,0,16,94,132,191,248
Subject7,1.068597,0,25,62,132,193,247
Subject7,1.075284,0,18,62,107,191,252
Subject7,1.1071010000000001,0,17,58,125,189,265
Subject7,1.109789,0,17,90,129,186,245
Subject7,1.3962649999999999,0,16,68,110,189,242
Subject7,1.406144,0,24,97,135,194,264
Subject7,1.5313649999999999,0,13,62,113,189,275
Subject7,1.5360639999999999,0,18,62,130,191,251
Subject7,1.541569,0,21,62,122,192,258
Subject7,1.549536,0,14,77,114,193,269
Subject7,1.5699379999999998,0,13,69,113,189,251
Subject7,1.5752190000000001,0,21,65,125,189,254
Subject7,1.83129,0,21,62,124,183,276
Subject7,1.857764,0,16,68,110,181,239
Subject7,1.8842849999999998,0,15,62,107,183,269
Subject7,1.897788,0,21,62,122,184,248
Subject7,1.9014380000000002,0,16,110,176,233,271
Subject7,1.90395,0,21,65,121,181,251
Subject7,1.926186,0,22,74,124,181,249
Subject7,1.947819,0,14,74,111,173,230
Subject7,1.9805669999999997,0,15,58,114,178,260
