subject,speed,point 0,point 1,point 2,point 3,point 4,point 5
Subject2,0.839838,0,10,59,126,201,251
Subject2,0.847615,0,14,68,130,200,254
Subject2,0.908708,0,14,94,144,193,242
Subject2,0.936204,0,14,65,135,196,252
Subject2,0.986101,0,13,84,136,190,244
Subject2,1.005425,0,15,84,133,196,248
Subject2,1.005736,0,14,79,129,190,246
Subject2,1.022884,0,13,66,122,195,257
Subject2,1.064725,0,14,87,136,187,242
Subject2,1.100431,0,15,65,128,183,241
Subject2,1.133327,0,13,65,125,188,248
Subject2,1.147882,0,11,62,125,188,247
Subject2,1.3407950000000002,0,13,65,115,181,261
Subject2,1.400374,0,14,65,128,181,242
Subject2,1.4009610000000001,0,13,65,117,177,243
Subject2,1.432323,0,14,68,119,183,251
Subject2,1.454782,0,13,62,124,182,241
Subject2,1.460423,0,13,64,116,176,276
Subject2,1.460947,0,14,71,127,176,229
Subject2,1.471659,0,12,65,123,180,239
Subject2,1.476602,0,14,65,116,179,242
Subject2,1.525299,0,11,62,123,177,234
Subject2,1.679415,0,12,64,115,170,233
Subject2,1.735787,0,11,65,126,175,232
Subject2,1.8010979999999999,0,12,65,122,174,236
Subject2,1.8067330000000001,0,12,68,117,175,247
Subject2,1.827589,0,12,68,121,176,267
Subject2,1.852475,0,10,65,125,174,230
Subject2,1.8914689999999998,0,11,65,123,172,237
Subject2,2.038672,0,11,62,111,170,245
Subject2,2.03926,0,10,65,123,172,230
