subject,speed,point 0,point 1,point 2,point 3,point 4,point 5
Subject35,0.7670520000000001,0,9,58,144,202,247
Subject35,0.95481,0,14,55,138,195,240
Subject35,0.9638260000000001,0,19,55,130,190,237
Subject35,1.01515,0,10,81,124,179,233
Subject35,1.032524,0,18,58,136,193,239
Subject35,1.032678,0,14,84,143,193,245
Subject35,1.045665,0,28,62,140,188,235
Subject35,1.056829,0,20,65,141,194,240
Subject35,1.063609,0,27,65,129,194,249
Subject35,1.073477,0,15,71,132,188,235
Subject35,1.074716,0,20,55,132,185,234
Subject35,1.084415,0,10,68,135,194,247
Subject35,1.085135,0,18,55,138,193,245
Subject35,1.08684,0,20,62,132,189,234
Subject35,1.088206,0,20,62,143,189,249
Subject35,1.09179,0,11,52,133,186,237
Subject35,1.096175,0,16,135,185,234,276
Subject35,1.1057290000000002,0,22,55,129,183,235
Subject35,1.117051,0,21,65,123,185,232
Subject35,1.39258,0,18,62,133,187,237
Subject35,1.417694,0,16,132,190,242,276
Subject35,1.459855,0,22,87,134,191,243
Subject35,1.5147700000000002,0,14,68,131,187,243
Subject35,1.6767400000000001,0,62,117,174,229,276
