subject,speed,point 0,point 1,point 2,point 3,point 4,point 5
Subject33,0.741244,0,24,104,142,190,246
Subject33,0.8016770000000001,0,16,105,137,191,256
Subject33,0.9023200000000001,0,11,57,126,179,252
Subject33,0.905099,0,13,64,118,182,278
Subject33,0.9220879999999999,0,14,128,185,244,276
Subject33,1.138262,0,12,91,139,197,255
Subject33,1.1659899999999999,0,10,52,103,178,262
Subject33,1.19011,0,59,90,125,200,259
Subject33,1.222975,0,12,44,77,113,174
Subject33,1.298035,0,16,89,132,181,267
Subject33,1.299072,0,14,45,125,183,249
Subject33,1.302692,0,12,77,117,201,280
Subject33,1.308476,0,14,91,135,185,259
Subject33,1.3927829999999999,0,12,93,126,179,254
Subject33,1.406093,0,10,45,128,178,251
Subject33,1.411066,0,11,68,121,187,258
Subject33,1.411821,0,15,58,131,192,248
Subject33,1.6833770000000001,0,15,67,120,172,256
Subject33,1.7738209999999999,0,10,70,121,178,262
Subject33,1.8006360000000001,0,57,88,125,180,253
Subject33,2.037008,0,40,76,124,182,256
Subject33,2.122989,0,5,63,116,171,245
Subject33,2.125528,0,12,74,121,175,242
Subject33,2.149032,0,48,86,128,169,272
