subject,speed,point 0,point 1,point 2,point 3,point 4,point 5
Subject11,0.677357,0,13,70,130,205,258
Subject11,0.687995,0,13,74,130,213,263
Subject11,0.7025520000000001,0,23,70,121,197,256
Subject11,0.7343189999999999,0,13,70,116,191,245
Subject11,0.776841,0,10,61,137,202,261
Subject11,0.818022,0,11,74,138,211,265
Subject11,0.9278219999999999,0,13,64,120,197,260
Subject11,0.9397770000000001,0,13,74,127,204,260
Subject11,0.945384,0,9,61,117,193,255
Subject11,0.953145,0,11,71,130,201,259
Subject11,1.056314,0,12,64,111,196,257
Subject11,1.063446,0,19,95,138,199,263
Subject11,1.138087,0,12,64,134,199,258
Subject11,1.138883,0,12,64,123,190,263
Subject11,1.14083,0,14,64,129,198,260
Subject11,1.144781,0,12,70,124,198,262
Subject11,1.353153,0,11,70,122,191,257
Subject11,1.3602299999999998,0,15,67,123,188,257
Subject11,1.365108,0,12,61,121,182,255
Subject11,1.366551,0,16,67,122,189,258
Subject11,1.36694,0,17,70,128,194,257
Subject11,1.377392,0,10,54,119,190,259
Subject11,1.427107,0,13,80,124,185,256
Subject11,1.434234,0,18,74,129,194,254
Subject11,1.820654,0,21,71,119,179,246
Subject11,1.831057,0,10,58,117,178,247
Subject11,1.8519580000000002,0,13,61,118,183,251
Subject11,1.853748,0,15,59,120,180,256
Subject11,1.859259,0,12,61,120,179,249
Subject11,1.8633060000000001,0,14,57,120,181,255
Subject11,1.867965,0,12,59,115,178,250
Subject11,1.8729959999999999,0,12,61,121,180,250
Subject11,1.910092,0,14,61,118,179,248
Subject11,1.9169310000000002,0,16,61,123,181,246
Subject11,2.063639,0,13,88,133,176,244
Subject11,2.076295,0,11,61,112,176,249
Subject11,2.085208,0,13,72,118,176,241
Subject11,2.096892,0,13,66,115,180,248
Subject11,2.101277,0,11,59,109,174,245
