subject,speed,point 0,point 1,point 2,point 3,point 4,point 5
Subject45,0.744043,0,18,106,143,194,273
Subject45,0.793852,0,19,87,135,190,234
Subject45,0.821154,0,10,78,123,192,258
Subject45,0.8215600000000001,0,16,100,142,194,266
Subject45,1.145714,0,16,90,130,193,255
Subject45,1.1560190000000001,0,16,110,141,189,270
Subject45,1.2185540000000001,0,13,78,132,188,258
Subject45,1.2238639999999998,0,15,100,144,188,251
Subject45,1.409461,0,22,59,124,178,253
Subject45,1.508805,0,20,58,128,185,261
Subject45,1.513544,0,12,87,128,177,250
Subject45,1.535409,0,17,54,132,177,257
Subject45,1.5917569999999999,0,16,55,97,181,258
