Speed,instance,QS phase,intercept,stiffness,MSE,R2,inverted
Subject1,1.7820740000000002,CP,0.0,0.0,0.0,,True
Subject1,1.7820740000000002,ERP,0.07,1.164,0.004,0.607,False
Subject1,1.7820740000000002,LRP,-0.395,14.026,0.013,0.884,False
Subject1,1.7820740000000002,DP,1.204,2.493,0.002,0.99,False
Subject2,0.839838,CP,-0.024,-0.015,0.0,0.152,False
Subject2,0.839838,ERP,0.056,1.661,0.0,0.963,False
Subject2,0.839838,LRP,-0.395,5.256,0.0,0.997,False
Subject2,0.839838,DP,0.548,1.794,0.013,0.927,False
Subject2,0.847615,CP,-0.019,0.009,0.0,0.028,False
Subject2,0.847615,ERP,0.121,2.259,0.002,0.909,False
Subject2,0.847615,LRP,-0.073,4.766,0.0,0.996,False
Subject2,0.847615,DP,0.57,2.027,0.009,0.952,False
Subject2,0.908708,CP,-0.033,0.043,0.0,0.548,False
Subject2,0.908708,ERP,0.077,1.372,0.0,0.978,False
Subject2,0.908708,LRP,-0.782,5.897,0.0,0.998,False
Subject2,0.908708,DP,0.407,2.007,0.004,0.963,False
Subject2,0.936204,CP,-0.033,0.091,0.0,0.963,False
Subject2,0.936204,ERP,0.06,0.959,0.0,0.942,False
Subject2,0.936204,LRP,-0.141,5.25,0.0,0.997,False
Subject2,0.936204,DP,0.65,1.675,0.008,0.949,False
Subject2,0.986101,CP,-0.029,-0.062,0.0,0.491,False
Subject2,0.986101,ERP,0.14,2.085,0.001,0.949,False
Subject2,0.986101,LRP,-0.148,4.684,0.0,0.992,False
Subject2,0.986101,DP,0.495,1.945,0.005,0.957,False
Subject2,1.005425,CP,-0.027,0.002,0.0,0.001,False
Subject2,1.005425,ERP,0.107,1.519,0.0,0.989,False
Subject2,1.005425,LRP,-0.513,5.506,0.001,0.985,False
Subject2,1.005425,DP,0.599,1.555,0.007,0.952,False
Subject2,1.005736,CP,-0.026,0.07,0.0,0.784,False
Subject2,1.005736,ERP,0.102,2.113,0.003,0.868,False
Subject2,1.005736,LRP,-0.142,5.453,0.0,0.992,False
Subject2,1.005736,DP,0.643,2.124,0.004,0.973,False
Subject2,1.022884,CP,-0.032,0.001,0.0,0.001,False
Subject2,1.022884,ERP,0.218,2.738,0.003,0.934,False
