subject,speed,point 0,point 1,point 2,point 3,point 4,point 5
Subject27,0.8595200000000001,0,11,61,143,200,249
Subject27,0.912185,0,11,79,129,197,248
Subject27,0.97919,0,14,64,126,196,249
Subject27,1.042305,0,14,64,127,197,249
Subject27,1.097926,0,15,72,126,192,248
Subject27,1.10845,0,20,85,136,199,252
Subject27,1.112801,0,16,88,138,198,254
Subject27,1.165617,0,17,79,128,197,250
Subject27,1.166093,0,10,61,133,198,259
Subject27,1.170935,0,15,79,130,196,249
Subject27,1.175442,0,17,69,132,202,256
Subject27,1.1769610000000001,0,15,70,134,192,252
Subject27,1.269857,0,20,70,128,195,251
Subject27,1.305408,0,20,77,126,197,261
Subject27,1.4601540000000002,0,18,73,122,190,257
