subject,speed,point 0,point 1,point 2,point 3,point 4,point 5
Subject39,0.9080799999999999,0,19,79,122,187,238
Subject39,0.910985,0,15,107,171,226,282
Subject39,0.97283,0,10,73,117,187,243
Subject39,1.152041,0,13,93,137,185,249
Subject39,1.1696950000000002,0,20,103,182,240,283
Subject39,1.403827,0,11,57,104,174,236
Subject39,1.4218629999999999,0,4,47,91,178,249
Subject39,1.501644,0,17,66,129,187,241
Subject39,1.562495,0,4,57,115,179,244
Subject39,1.730114,0,21,76,126,186,240
Subject39,2.294263,0,29,96,140,192,272
