subject,speed,point 0,point 1,point 2,point 3,point 4,point 5
Subject41,1.087632,0,19,60,137,192,245
Subject41,1.096482,0,15,72,134,190,275
Subject41,1.1020889999999999,0,25,63,128,193,273
Subject41,1.137268,0,19,71,135,188,269
Subject41,1.163997,0,25,60,128,193,277
Subject41,1.180595,0,22,83,135,192,278
Subject41,1.290859,0,23,73,140,195,265
Subject41,1.3726770000000001,0,20,66,129,185,264
Subject41,1.3896870000000001,0,16,90,137,188,246
Subject41,1.405283,0,22,130,184,229,271
Subject41,1.412194,0,20,69,131,186,262
Subject41,1.421837,0,17,66,128,184,241
Subject41,1.4242219999999999,0,22,131,185,229,263
Subject41,1.430031,0,15,129,187,225,271
Subject41,1.443926,0,21,73,135,189,267
Subject41,1.718495,0,21,74,124,184,263
Subject41,1.718893,0,20,73,123,178,257
Subject41,1.72222,0,15,73,120,180,267
Subject41,1.723164,0,21,63,126,189,268
Subject41,1.7596599999999998,0,4,60,119,180,263
Subject41,1.77267,0,28,77,128,192,273
Subject41,1.920478,0,22,66,102,183,264
