subject,speed,point 0,point 1,point 2,point 3,point 4,point 5
Subject38,0.629692,0,15,95,127,190,235
Subject38,1.033958,0,19,60,131,196,250
Subject38,1.0440909999999999,0,11,86,133,189,237
Subject38,1.151997,0,12,97,132,187,240
Subject38,1.2286569999999999,0,17,57,133,187,250
Subject38,1.2534020000000001,0,15,129,185,236,278
Subject38,1.373417,0,19,66,132,190,248
Subject38,1.461695,0,20,70,132,188,257
Subject38,1.467814,0,15,84,125,188,251
Subject38,1.509801,0,34,90,149,203,276
Subject38,1.523319,0,26,76,135,194,252
Subject38,1.56561,0,15,78,129,191,277
Subject38,1.595229,0,5,92,137,196,262
Subject38,1.630358,0,4,61,119,178,240
Subject38,1.795964,0,10,79,119,186,247
