subject,speed,point 0,point 1,point 2,point 3,point 4,point 5
Subject1,0.840698,0,19,92,147,206,260
Subject1,0.858036,0,21,97,140,195,279
Subject1,0.870168,0,21,103,146,202,252
Subject1,0.872368,0,17,66,137,201,254
Subject1,0.8777209999999999,0,18,64,145,207,262
Subject1,0.8779680000000001,0,2,99,149,202,255
Subject1,0.886619,0,1,63,139,201,262
Subject1,0.911007,0,1,102,146,194,244
Subject1,0.919435,0,2,105,149,198,248
Subject1,0.9371280000000001,0,16,83,138,200,261
Subject1,1.152118,0,18,89,133,193,260
Subject1,1.155413,0,21,66,134,188,275
Subject1,1.195278,0,3,46,135,192,257
Subject1,1.215271,0,17,76,128,188,256
Subject1,1.2189379999999999,0,22,66,127,188,259
Subject1,1.21899,0,15,69,123,191,260
Subject1,1.22262,0,3,46,122,186,254
Subject1,1.229933,0,42,118,186,230,274
Subject1,1.240167,0,18,79,127,190,260
Subject1,1.267675,0,18,61,123,188,259
Subject1,1.690375,0,18,61,114,177,255
Subject1,1.761722,0,1,52,108,175,255
Subject1,1.77063,0,18,63,114,175,257
Subject1,1.7738770000000001,0,20,63,111,176,259
Subject1,1.7820740000000002,0,1,53,119,178,258
