subject,speed,point 0,point 1,point 2,point 3,point 4,point 5
Subject23,0.805056,0,9,68,128,204,258
Subject23,0.828609,0,11,97,134,204,260
Subject23,0.836332,0,16,81,129,200,253
Subject23,0.859152,0,11,65,129,202,282
Subject23,0.872959,0,3,84,122,193,249
Subject23,0.924316,0,12,81,120,191,274
Subject23,0.978,0,19,65,107,189,279
Subject23,1.067112,0,15,65,105,194,254
Subject23,1.070394,0,12,84,123,190,250
Subject23,1.192069,0,11,97,191,245,282
Subject23,1.3937540000000002,0,10,81,120,183,247
Subject23,1.559258,0,23,84,129,196,268
Subject23,1.678103,0,15,82,135,202,272
Subject23,1.6974599999999997,0,7,99,141,196,268
