subject,speed,point 0,point 1,point 2,point 3,point 4,point 5
Subject22,0.8952610000000001,0,74,138,190,244,276
Subject22,0.895752,0,16,62,144,204,260
Subject22,0.9151610000000001,0,13,87,141,196,254
Subject22,0.961577,0,9,78,144,198,254
Subject22,0.9672719999999999,0,16,84,140,199,256
Subject22,1.05949,0,16,74,138,191,251
Subject22,1.065926,0,20,87,138,194,256
Subject22,1.069825,0,10,74,140,189,247
Subject22,1.071186,0,16,87,142,197,260
Subject22,1.0997190000000001,0,9,91,143,194,254
Subject22,1.112485,0,17,65,136,193,252
Subject22,1.163042,0,15,84,139,190,251
Subject22,1.1667809999999998,0,18,84,145,194,255
Subject22,1.167031,0,16,78,139,191,255
Subject22,1.180703,0,19,65,138,193,257
Subject22,1.229415,0,13,74,141,191,254
Subject22,1.232337,0,12,61,92,140,186
Subject22,1.238774,0,18,65,135,191,252
Subject22,1.251223,0,13,72,138,191,254
Subject22,1.262583,0,14,87,137,192,260
Subject22,1.264574,0,13,87,140,188,248
Subject22,1.26787,0,15,81,134,191,257
Subject22,1.273021,0,18,65,136,192,254
Subject22,1.282751,0,15,84,133,189,258
Subject22,1.2858319999999999,0,10,71,102,135,187
Subject22,1.4974129999999999,0,16,71,131,182,253
Subject22,1.525185,0,12,74,132,184,247
Subject22,1.630101,0,16,75,127,181,253
Subject22,1.634039,0,14,65,130,181,246
Subject22,1.6520439999999998,0,14,71,128,180,249
Subject22,1.6535689999999998,0,13,65,128,178,242
Subject22,1.6566,0,16,71,126,177,253
Subject22,1.6952150000000001,0,13,68,123,178,246
