subject,speed,point 0,point 1,point 2,point 3,point 4,point 5
Subject44,0.917493,0,14,106,146,203,273
Subject44,0.9386709999999999,0,14,75,121,195,258
Subject44,0.955622,0,9,106,137,194,252
Subject44,1.065605,0,13,67,124,191,251
Subject44,1.26194,0,13,85,137,184,253
Subject44,1.268325,0,12,97,136,180,252
Subject44,1.2995079999999999,0,17,105,139,185,253
Subject44,1.2997670000000001,0,14,103,136,187,266
Subject44,1.325106,0,18,103,136,185,251
Subject44,1.544209,0,89,123,176,228,279
Subject44,1.552678,0,12,90,121,187,257
Subject44,1.746039,0,12,98,129,181,272
Subject44,1.771842,0,13,63,95,180,250
Subject44,1.987982,0,15,69,115,172,283
