subject,speed,point 0,point 1,point 2,point 3,point 4,point 5
Subject30,0.848203,0,14,59,130,197,258
Subject30,0.8517020000000001,0,11,56,117,201,261
Subject30,0.861719,0,13,54,142,192,256
Subject30,0.877411,0,16,58,139,198,258
Subject30,0.89886,0,13,56,138,192,257
Subject30,1.3780299999999999,0,11,70,111,179,262
Subject30,1.407447,0,11,86,125,184,274
Subject30,1.4189399999999999,0,13,90,127,183,252
Subject30,1.454331,0,11,78,115,179,247
Subject30,1.460978,0,14,51,114,181,257
Subject30,1.626242,0,13,75,112,181,260
Subject30,1.6324239999999999,0,13,74,116,175,249
Subject30,1.6509369999999999,0,15,71,108,176,246
Subject30,1.659916,0,16,80,117,180,249
Subject30,1.7098799999999998,0,13,53,106,175,249
