subject,speed,point 0,point 1,point 2,point 3,point 4,point 5
Subject47,0.585589,0,11,59,121,198,272
Subject47,0.659229,0,10,65,114,196,265
Subject47,0.768175,0,10,71,126,195,262
Subject47,0.9569620000000001,0,10,112,188,235,271
Subject47,1.085942,0,12,69,133,182,242
Subject47,1.123687,0,12,100,132,191,259
Subject47,1.133099,0,11,88,127,188,249
Subject47,1.149074,0,11,88,126,187,250
Subject47,1.158453,0,11,96,127,188,280
Subject47,1.194099,0,36,87,125,185,250
Subject47,1.2277360000000002,0,41,95,129,192,233
Subject47,1.270248,0,41,72,127,189,256
Subject47,1.301521,0,11,68,127,186,261
Subject47,1.342869,0,11,61,95,129,185
