subject,speed,point 0,point 1,point 2,point 3,point 4,point 5
Subject26,0.918107,0,15,73,123,177,269
Subject26,0.988368,0,16,73,122,190,281
Subject26,1.024721,0,21,92,141,195,276
Subject26,1.033126,0,19,68,117,177,275
Subject26,1.0420690000000001,0,20,79,130,190,277
Subject26,1.044271,0,17,68,118,181,276
Subject26,1.05813,0,21,86,136,186,245
Subject26,1.1643299999999999,0,19,86,137,191,253
Subject26,1.166819,0,16,66,137,188,277
Subject26,1.179346,0,15,66,130,183,250
Subject26,1.19862,0,17,66,127,185,256
Subject26,1.2019799999999998,0,23,83,136,189,254
Subject26,1.2399,0,17,79,128,182,246
Subject26,1.244743,0,20,69,131,186,247
Subject26,1.623094,0,17,75,126,185,265
Subject26,1.6342809999999999,0,25,74,123,184,272
Subject26,1.6476330000000001,0,17,66,119,184,266
Subject26,1.695552,0,28,77,127,188,272
Subject26,1.697345,0,18,72,125,183,260
Subject26,1.7126549999999998,0,19,69,118,180,262
