,work abs,work prod,direction
0.840698,0.14394464191597137,0.16158433573903133,ccw
0.858036,0.11336645584065724,0.18433254403260946,ccw
0.870168,0.1305110685064225,0.17082984231212953,ccw
0.872368,0.17155543378979957,0.1698378819344471,ccw
0.8777209999999999,0.1651008895701813,0.11982906838435801,ccw
0.8779680000000001,0.11626552529444387,0.22820257963273097,ccw
0.886619,0.16118445434688272,0.13080442009949858,ccw
0.911007,0.07884860300683844,0.2313460331019608,ccw
0.919435,0.10710032405990755,0.13007421005901465,ccw
0.9371280000000001,0.17579657773738208,0.13956987884078043,ccw
1.152118,0.13820129911125573,0.21833408766190487,ccw
1.155413,0.13059394905070298,0.22863809987166964,ccw
1.195278,0.12016656276021784,0.22358486152194504,ccw
1.215271,0.14430827955845005,0.2092290330351638,ccw
1.2189379999999999,0.12541223981639862,0.23678016149378064,ccw
1.21899,0.13205677736252153,0.254062213568911,ccw
1.22262,0.13353422103328633,0.22826852268496195,ccw
1.229933,0.10419001665229224,0.282334491203788,ccw
1.240167,0.15007840003830172,0.23699398451032194,ccw
1.267675,0.12868394745843903,0.2699168299953021,ccw
1.690375,0.09299068954206095,0.3267640889728355,ccw
1.761722,0.1747424967458318,0.3652618719199009,ccw
1.77063,0.08967826235425379,0.33449091533169095,ccw
1.7738770000000001,0.09183822479709275,0.35953266651409826,ccw
1.7820740000000002,0.07629286410377681,0.3506399091003684,ccw
0.839838,0.13589284792771894,0.1352118553703894,ccw
0.847615,0.15374337833337384,0.11387673059574127,ccw
0.908708,0.14545136827903754,0.12053118062582754,ccw
0.936204,0.12261033121843776,0.17668718747804654,ccw
0.986101,0.14880695283437625,0.1010841166073413,ccw
1.005425,0.12169325108649776,0.1850217928941422,ccw
1.005736,0.1278764327956121,0.16613857238039495,ccw
1.022884,0.16107468776448652,0.16891315207888208,ccw
1.064725,0.13671032366292268,0.162372543636601,ccw
1.100431,0.1706966362977559,0.13957561311880856,ccw
1.133327,0.2055388556444836,0.15157549335479661,ccw
1.147882,0.13924988904162294,0.16650219667443955,ccw
1.3407950000000002,0.13204918116694483,0.2448579075741831,ccw
1.400374,0.19685913040323152,0.18851836776294006,ccw
1.4009610000000001,0.12875951729242743,0.13146339776002094,ccw
1.432323,0.1912764474735233,0.2948572637189756,ccw
1.454782,0.18553904192418832,0.19912601349492456,ccw
1.460423,0.13023768608261932,0.27478129715253,ccw
1.460947,0.1538862348988956,0.11617974844911573,ccw
1.471659,0.17355660328577235,0.20797773391799657,ccw
1.476602,0.13272291118319926,0.2764932435556556,ccw
1.525299,0.1889263242912049,0.22376924504696105,ccw
1.679415,0.12669465825565887,0.18446419033875935,ccw
1.735787,0.18557222013297137,0.22574518463278445,ccw
1.8010979999999999,0.15485882682933028,0.25471710670072506,ccw
0.9750049999999999,0.19163365190305873,0.03924383835359862,ccw
1.091213,0.11269749475567299,0.1603488525797674,ccw
1.2146649999999999,0.1666638924334517,0.11157167035225173,ccw
1.262133,0.16795099599274133,0.19393578887596666,ccw
0.886965,0.21561532901514696,0.11377619011051618,ccw
0.9097770000000001,0.11290611135410811,0.18775837783687518,ccw
0.937383,0.10243425319970201,0.174595292767374,ccw
0.9438479999999999,0.16896501914889564,0.20658164026609807,ccw
0.987518,0.1787320316956386,0.1231338284303386,ccw
1.007758,0.17748998533314103,0.1879096094242986,ccw
1.019715,0.1886825007872242,0.16884606009142006,ccw
1.020355,0.12338341172819697,0.17912642540360138,ccw
1.021772,0.13469496232055522,0.177873461046826,ccw
1.032633,0.15177681281481417,0.1823636188087087,ccw
1.047597,0.17026182716765725,0.21452042469345708,ccw
1.048813,0.1961760615459414,0.0963863929303713,ccw
1.052884,0.15869351999002146,0.14636614069969836,ccw
1.06237,0.15078318628362872,0.14499484271138852,ccw
1.067982,0.1831154305519545,0.21546714660499686,ccw
1.0683200000000002,0.12902834022638793,0.14709083992202873,ccw
1.141066,0.16098291920851418,0.18870296129527972,ccw
1.2908870000000001,0.1545426422439751,0.2362564897738998,ccw
1.332771,0.10279901818109,0.2094919084145105,ccw
1.403746,0.10902174629013028,0.17970875291169425,ccw
1.468461,0.13389151480599334,0.3050203270641758,ccw
1.498009,0.11025680000548982,0.2478161008410734,ccw
1.525374,0.13729877579131256,0.26068590918213325,ccw
1.54301,0.056535165866064885,0.2944892752663053,ccw
1.550904,0.06713976008584564,0.2620102208784231,ccw
0.844706,0.09652461503034201,0.2766400798461067,ccw
0.853693,0.07189082138134209,0.3171653977216909,ccw
0.859974,0.08369906410608755,0.20618423644822745,ccw
0.8656729999999999,0.09774079262273438,0.1959126106231568,ccw
0.865984,0.10601644960265816,0.305088502886536,ccw
0.870985,0.08707188325698473,0.22496174943744535,ccw
