subject,speed,point 0,point 1,point 2,point 3,point 4,point 5
Subject5,0.844706,0,18,64,145,205,253
Subject5,0.853693,0,16,88,138,203,276
Subject5,0.859974,0,12,80,144,194,247
Subject5,0.8656729999999999,0,10,99,141,197,253
Subject5,0.865984,0,13,61,142,202,255
Subject5,0.870985,0,13,80,143,199,277
Subject5,0.953508,0,16,86,137,201,273
Subject5,0.964317,0,15,99,143,192,271
Subject5,0.970427,0,14,67,135,190,251
Subject5,0.9801479999999999,0,21,70,138,201,251
Subject5,1.230732,0,19,74,139,197,270
Subject5,1.338256,0,16,82,139,196,276
Subject5,1.365789,0,17,74,140,195,280
Subject5,1.38535,0,19,78,139,196,252
Subject5,1.872529,0,14,91,131,182,278
Subject5,1.982102,0,15,86,119,179,241
Subject5,2.002783,0,15,82,132,184,270
Subject5,2.095746,0,10,78,132,178,279
