subject,speed,point 0,point 1,point 2,point 3,point 4,point 5
Subject48,0.8009430000000001,0,25,68,126,181,239
Subject48,1.004724,0,19,65,131,181,279
Subject48,1.052068,0,13,68,107,187,249
Subject48,1.106696,0,16,71,103,189,254
Subject48,1.243331,0,17,71,118,176,279
Subject48,1.24456,0,20,68,120,182,254
Subject48,1.2656459999999998,0,15,66,119,177,253
Subject48,1.294707,0,14,72,115,177,274
Subject48,1.304461,0,16,84,116,187,253
Subject48,1.305548,0,11,64,97,172,244
Subject48,1.330069,0,13,56,100,181,251
Subject48,1.332231,0,10,68,105,184,253
Subject48,1.3463180000000001,0,15,68,121,186,253
Subject48,1.355375,0,11,108,181,248,281
Subject48,1.444572,0,14,65,117,177,281
