subject,speed,point 0,point 1,point 2,point 3,point 4,point 5
Subject50,0.48813199999999995,0,12,57,105,137,270
Subject50,0.635493,0,23,102,136,202,261
Subject50,0.6536420000000001,0,9,63,135,202,240
Subject50,0.706022,0,13,76,111,194,283
Subject50,0.765411,0,12,52,134,204,246
Subject50,0.80762,0,9,48,92,129,242
Subject50,0.856874,0,7,76,107,194,262
Subject50,1.022905,0,13,56,137,236,279
Subject50,1.160032,0,72,103,134,187,276
Subject50,1.178692,0,16,56,102,138,248
Subject50,1.192549,0,15,56,113,188,244
Subject50,1.233208,0,12,57,104,139,195
Subject50,1.243787,0,13,69,100,132,283
Subject50,1.284022,0,9,95,132,185,246
Subject50,1.2852620000000001,0,10,102,133,192,253
Subject50,1.2922870000000002,0,1,67,117,187,255
