subject,speed,point 0,point 1,point 2,point 3,point 4,point 5
Subject10,0.8318709999999999,0,19,51,132,203,256
Subject10,0.832169,0,22,57,128,192,241
Subject10,0.920851,0,17,67,146,196,251
Subject10,0.977857,0,25,66,129,195,270
Subject10,0.9875219999999999,0,16,60,137,202,255
Subject10,1.0565,0,19,66,125,189,279
Subject10,1.106243,0,21,66,134,197,281
Subject10,1.115202,0,18,72,117,191,249
Subject10,1.155088,0,15,74,118,187,260
Subject10,1.173171,0,14,82,113,195,259
Subject10,1.37295,0,14,89,130,191,267
Subject10,1.380016,0,2,79,131,190,251
Subject10,1.485331,0,17,89,123,189,256
Subject10,1.5431139999999999,0,16,87,121,190,274
Subject10,1.562025,0,17,86,124,192,281
Subject10,1.5971799999999998,0,16,61,120,187,255
Subject10,2.000142,0,17,79,123,182,278
Subject10,2.015644,0,13,87,118,181,274
Subject10,2.095729,0,13,76,119,181,274
Subject10,2.165827,0,14,75,117,176,278
