Label,Coordinate,R2 values
HEAD_ANT,X,0.9999561904962273
HEAD_ANT,Y,0.9759146689709238
HEAD_ANT,Z,0.5725122081457905
R_HEAD,X,0.9999519076592993
R_HEAD,Y,0.9764229940286033
R_HEAD,Z,0.6155730392421702
L_HEAD,X,0.9999504763845715
L_HEAD,Y,0.9765242523385029
L_HEAD,Z,0.5560818579942033
C7,X,0.9998938273657426
C7,Y,0.9761131193553704
C7,Z,0.5640584198919003
R_BACK,X,0.9998147745604595
R_BACK,Y,0.9736808893204087
R_BACK,Z,0.576285771028886
L_BACK,X,0.9996825985994856
L_BACK,Y,0.9712579710274493
L_BACK,Z,0.5595341160123612
STERNUM,X,0.999737149487661
STERNUM,Y,0.9797208417113724
STERNUM,Z,0.5696862114767798
R_ACROMION,X,0.9996666811614239
R_ACROMION,Y,0.9797800819124983
R_ACROMION,Z,0.580679305758523
R_HUM_PROX,X,0.9977266924495867
R_HUM_PROX,Y,0.9755176908009128
R_HUM_PROX,Z,0.6058883070773193
R_HUM_ANT,X,0.9966853497733724
R_HUM_ANT,Y,0.9717651390425328
R_HUM_ANT,Z,0.5961329990381554
R_HUM_POST,X,0.9964747752384696
R_HUM_POST,Y,0.9701387444935705
R_HUM_POST,Z,0.6435211365394216
R_ELBOW_LAT,X,0.9944941484401691
R_ELBOW_LAT,Y,0.9708426748776741
R_ELBOW_LAT,Z,0.6212906341598596
R_ELBOW_MED,X,0.9972475571318999
R_ELBOW_MED,Y,0.9705514899939952
R_ELBOW_MED,Z,0.6033736839474655
R_FOREARM,X,0.9858794996962096
R_FOREARM,Y,0.970903053040144
R_FOREARM,Z,0.6608129655218327
R_WIRST_LAT,X,0.9847683268074745
R_WIRST_LAT,Y,0.9624720180890758
R_WIRST_LAT,Z,0.734683785961618
R_WRITS_MED,X,0.9792153462893521
R_WRITS_MED,Y,0.927946902935639
R_WRITS_MED,Z,0.636910250503987
R_HAND,X,0.9720375502679082
R_HAND,Y,0.9446233373275595
R_HAND,Z,0.7281363124536746
L_ACROMION,X,0.9995317132340327
L_ACROMION,Y,0.9767410999860935
L_ACROMION,Z,0.5675505548382775
L_HUM_PROX,X,0.9970968431797379
L_HUM_PROX,Y,0.9833544326280099
L_HUM_PROX,Z,0.5856460747096073
L_HUM_ANT,X,0.9956811320532346
L_HUM_ANT,Y,0.9879796309086767
L_HUM_ANT,Z,0.586621061691984
L_HUM_POST,X,0.9950631808158941
L_HUM_POST,Y,0.971990090921109
L_HUM_POST,Z,0.6256779348013615
L_ELBOW_LAT,X,0.9926769132946123
L_ELBOW_LAT,Y,0.9845809317921553
L_ELBOW_LAT,Z,0.5958274777313362
L_ELBOW_MED,X,0.9941154128902232
L_ELBOW_MED,Y,0.9743949401179137
L_ELBOW_MED,Z,0.6249127369288314
L_FOREARM,X,0.9821138691568384
L_FOREARM,Y,0.9745351473321244
L_FOREARM,Z,0.7583828976964934
L_WRIST_LAT,X,0.9799901774975972
L_WRIST_LAT,Y,0.9837689515086925
L_WRIST_LAT,Z,0.8620948922161518
L_WIRST_MED,X,0.9746279234363656
L_WIRST_MED,Y,0.9353496756917019
L_WIRST_MED,Z,0.7023793873315087
L_HAND,X,0.998695449431145
L_HAND,Y,0.9705720995792126
L_HAND,Z,0.8885190150688816
R_ILIAC,X,0.9993370704209736
R_ILIAC,Y,0.9840835933200711
R_ILIAC,Z,0.6423970787556972
SACRUM,X,0.9995258857402696
SACRUM,Y,0.9815744155869996
SACRUM,Z,0.5578338349101694
L_ILIAC,X,0.9993075419891682
L_ILIAC,Y,0.9838977135763274
L_ILIAC,Z,0.49568836225652624
R_GTROCH,X,0.9975780556402805
R_GTROCH,Y,0.9774968290987556
R_GTROCH,Z,0.7412786194890952
R_THIGH__1,X,0.9901902624459425
R_THIGH__1,Y,0.9503440215340033
R_THIGH__1,Z,0.6868614351146304
R_THIGH_2,X,0.99056363697675
R_THIGH_2,Y,0.8887329341146937
R_THIGH_2,Z,0.8140912846020552
R_THIGH_3,X,0.9868252725752154
R_THIGH_3,Y,0.8659548627332954
R_THIGH_3,Z,0.8256403234312676
R_THIGH_4,X,0.9874275286801197
R_THIGH_4,Y,0.9615670133247782
R_THIGH_4,Z,0.6251643322820996
R_SHANK_1,X,0.9848151904725787
R_SHANK_1,Y,0.8642308977109426
R_SHANK_1,Z,0.9728396056268825
R_SHANK_2,X,0.9833799486071765
R_SHANK_2,Y,0.8641557184196645
R_SHANK_2,Z,0.9272135708845071
R_SHANK_3,X,0.9802951236138434
R_SHANK_3,Y,0.8871372754790038
R_SHANK_3,Z,0.9177523665813477
R_SHANK_4,X,0.9827737325710595
R_SHANK_4,Y,0.8563630211986055
R_SHANK_4,Z,0.9568409573837762
R_HEEL,X,0.9718591906869718
R_HEEL,Y,0.8025276395047094
R_HEEL,Z,0.9087283358725452
R_FOOT_LAT,X,0.9834201267076902
R_FOOT_LAT,Y,0.777326038685057
R_FOOT_LAT,Z,0.7114944502836609
R_FOOT_MED,X,0.9799277228452445
R_FOOT_MED,Y,0.8336159637237782
R_FOOT_MED,Z,0.8143349154967576
L_GTROCH,X,0.9984632316841096
L_GTROCH,Y,0.9826938891681326
L_GTROCH,Z,0.3492769976715767
L_THIGH_1,X,0.9983987766004581
L_THIGH_1,Y,0.8004029252579452
L_THIGH_1,Z,0.6266427189974892
L_THIGH_2,X,0.9703479421235871
L_THIGH_2,Y,0.9177203441929844
L_THIGH_2,Z,0.2222804396975494
L_THIGH_3,X,0.997866787146795
L_THIGH_3,Y,0.5848977962054485
L_THIGH_3,Z,0.1921067835419703
L_THIGH_4,X,0.9979520785353666
L_THIGH_4,Y,0.5988789116831471
L_THIGH_4,Z,0.6135696737683709
L_SHANK_1,X,0.9905830499952072
L_SHANK_1,Y,0.726129694322589
L_SHANK_1,Z,0.8828701112334065
L_SHANK_2,X,0.990254155393697
L_SHANK_2,Y,0.6717331878990673
L_SHANK_2,Z,0.7937913878157906
L_SHANK_3,X,0.9830916129277802
L_SHANK_3,Y,0.7447748806743484
L_SHANK_3,Z,0.7893844646424376
L_SHANK_4,X,0.9820845652879623
L_SHANK_4,Y,0.8250479767343665
L_SHANK_4,Z,0.8418477925436646
L_HEEL,X,0.9722264916567617
L_HEEL,Y,0.8343070604502228
L_HEEL,Z,0.7269242111379038
L_FOOT_LAT,X,0.972055620222304
L_FOOT_LAT,Y,0.8278799176928144
L_FOOT_LAT,Z,0.5877301383033219
L_FOOT_MED,X,0.9715710203471499
L_FOOT_MED,Y,0.8576712069092517
L_FOOT_MED,Z,0.5604339468430266
