[2020-08-22 16:18:25.488] [warning] Couldn't find file 'middle_proximal_lvs.vtp'.
[2020-08-22 16:18:25.488] [warning] Couldn't find file 'middle_medial_lvs.vtp'.
[2020-08-22 16:18:25.488] [warning] Couldn't find file 'middle_distal_lvs.vtp'.
[2020-08-22 16:18:25.488] [warning] Couldn't find file 'metacarpal4_lvs.vtp'.
[2020-08-22 16:18:25.488] [warning] Couldn't find file 'ring_proximal_lvs.vtp'.
[2020-08-22 16:18:25.488] [warning] Couldn't find file 'ring_medial_lvs.vtp'.
[2020-08-22 16:18:25.488] [warning] Couldn't find file 'ring_distal_lvs.vtp'.
[2020-08-22 16:18:25.488] [warning] Couldn't find file 'metacarpal5_lvs.vtp'.
[2020-08-22 16:18:25.488] [warning] Couldn't find file 'little_proximal_lvs.vtp'.
[2020-08-22 16:18:25.488] [warning] Couldn't find file 'little_medial_lvs.vtp'.
[2020-08-22 16:18:25.488] [warning] Couldn't find file 'little_distal_lvs.vtp'.
[2020-08-22 16:18:25.488] [warning] Couldn't find file 'metacarpal1_lvs.vtp'.
[2020-08-22 16:18:25.488] [warning] Couldn't find file 'thumb_proximal_lvs.vtp'.
[2020-08-22 16:18:25.488] [warning] Couldn't find file 'thumb_distal_lvs.vtp'.
[2020-08-22 16:18:25.838] [info] Loading marker set from '/home/nikorose/Documents/DJS-GA/C3D/Gait_rawdata_c3d/osim_files_S01/Scale_MarkerSet.xml'.
[2020-08-22 16:18:28.860] [info] Updated markers in model FullBodyModel_MuscleActuatedLowerLimb_TorqueActuatedUpperBody
[2020-08-22 16:18:28.860] [info] Step 2: Scaling generic model
[2020-08-22 16:18:29.029] [error] MarkerData.readStoFile: ERROR- No markers were identified. Markers should appear on consecutive columns as Marker1.x Marker1.y Marker1.z Marker2.x... etc.
[2020-08-22 16:31:28.585] [info] Processing subject S01_scaled...
[2020-08-22 16:31:28.585] [info] Step 1: Loading generic model
[2020-08-22 16:31:28.667] [info] Loaded model FullBodyModel_MuscleActuatedLowerLimb_TorqueActuatedUpperBody from file /home/nikorose/Documents/DJS-GA/C3D/Gait_rawdata_c3d/osim_files_S01/custom_model.osim
[2020-08-22 16:31:28.669] [warning] Couldn't find file 'r_pelvis.vtp'.
[2020-08-22 16:31:28.669] [warning] Couldn't find file 'l_pelvis.vtp'.
[2020-08-22 16:31:28.669] [warning] Couldn't find file 'sacrum.vtp'.
[2020-08-22 16:31:28.669] [warning] Couldn't find file 'r_femur.vtp'.
[2020-08-22 16:31:28.669] [warning] Couldn't find file 'r_tibia.vtp'.
[2020-08-22 16:31:28.669] [warning] Couldn't find file 'r_fibula.vtp'.
[2020-08-22 16:31:28.669] [warning] Couldn't find file 'r_patella.vtp'.
[2020-08-22 16:31:28.669] [warning] Couldn't find file 'r_talus.vtp'.
[2020-08-22 16:31:28.669] [warning] Couldn't find file 'r_foot.vtp'.
[2020-08-22 16:31:28.669] [warning] Couldn't find file 'r_bofoot.vtp'.
[2020-08-22 16:31:28.670] [warning] Couldn't find file 'l_femur.vtp'.
[2020-08-22 16:31:28.670] [warning] Couldn't find file 'l_tibia.vtp'.
[2020-08-22 16:31:28.670] [warning] Couldn't find file 'l_fibula.vtp'.
[2020-08-22 16:31:28.670] [warning] Couldn't find file 'l_patella.vtp'.
[2020-08-22 16:31:28.670] [warning] Couldn't find file 'l_talus.vtp'.
[2020-08-22 16:31:28.670] [warning] Couldn't find file 'l_foot.vtp'.
[2020-08-22 16:31:28.670] [warning] Couldn't find file 'l_bofoot.vtp'.
[2020-08-22 16:31:28.670] [warning] Couldn't find file 'hat_spine.vtp'.
[2020-08-22 16:31:28.670] [warning] Couldn't find file 'hat_jaw.vtp'.
[2020-08-22 16:31:28.670] [warning] Couldn't find file 'hat_skull.vtp'.
[2020-08-22 16:31:28.670] [warning] Couldn't find file 'hat_ribs_scap.vtp'.
[2020-08-22 16:31:28.670] [warning] Couldn't find file 'humerus_rv.vtp'.
