,,Work Absorbed,Work produced,Work Total
S16,T04,0.0069,-0.0074,0.0143
S17,T04,0.1269,0.1318,0.25870000000000004
S18,T04,0.1095,-0.0451,0.15460000000000002
S19,T04,0.3195,0.0413,0.3608
S20,T04,0.1719,0.026,0.1979
S21,T04,0.1546,0.151,0.3056
S22,T04,0.3064,0.0891,0.3955
S23,T04,0.2278,0.1156,0.3434
S24,T04,0.2111,0.0137,0.2248
S25,T04,0.1584,-0.0217,0.1801
S26,T04,0.1715,0.0997,0.2712
S27,T04,0.1737,0.0386,0.2123
S28,T04,0.0833,0.0205,0.1038
S29,T04,0.2392,0.0096,0.2488
S30,T04,0.2151,-0.0682,0.2833
S31,T04,0.2639,0.0525,0.3164
S32,T04,0.2483,0.1737,0.422
S33,T04,0.3133,0.0648,0.3781
S34,T04,0.1642,0.0239,0.18810000000000002
S35,T04,0.3013,0.0277,0.329
S36,T04,0.1774,0.0262,0.2036
S37,T04,0.3102,0.074,0.3842
S38,T04,0.2048,0.0448,0.24960000000000002
S39,T04,0.1224,0.0699,0.1923
S40,T04,0.1243,0.1317,0.256
S41,T04,0.0853,0.0416,0.1269
S42,T04,0.0085,0.0081,0.0166
S01,T05,0.1619,0.1629,0.3248
S02,T05,-0.0009,0.2877,0.2886
S03,T05,0.2085,0.0457,0.2542
S04,T05,0.4098,0.135,0.5448
S05,T05,0.2599,0.1917,0.4516
S06,T05,0.1829,0.1166,0.2995
S07,T05,0.2085,0.0457,0.2542
S08,T05,0.2462,0.0963,0.3425
S09,T05,0.2253,0.1397,0.365
S10,T05,0.2085,0.0244,0.2329
S11,T05,0.2422,0.3746,0.6168
S12,T05,0.1694,0.0169,0.1863
S13,T05,0.192,0.0224,0.2144
S14,T05,0.0896,0.0609,0.1505
S15,T05,0.0609,0.1511,0.21200000000000002
S16,T05,0.0595,0.0583,0.11779999999999999
S17,T05,0.1742,0.1304,0.3046
S18,T05,0.1553,0.0802,0.2355
S19,T05,0.3325,0.069,0.4015
S20,T05,0.2158,0.1115,0.3273
S21,T05,0.2167,0.2256,0.4423
S22,T05,0.3249,0.1532,0.4781
