,,AgeGroup,Age,Height,Mass,Gender,Dominance,LegLength,BorgScale,speed,mode,point 0,point 1,point 2,point 3,point 4,point 5,work abs,work prod,direction,CP,ERP,LRP,DP
S14,T02,Young,31,153.0,64.95,F,L,0.8,6.0,VS,Treadmill,0.0,4.5,28.5,51.5,66.0,82.0,0.128,0.079,cw,-0.242,1.958,4.399,3.298
S14,T03,Young,31,153.0,64.95,F,L,0.8,6.0,S,Treadmill,0.0,6.5,30.5,51.0,69.0,84.0,0.148,0.053,cw,-0.243,2.028,5.26,2.212
S14,T04,Young,31,153.0,64.95,F,L,0.8,6.0,S,Treadmill,0.0,6.5,26.0,48.5,68.5,84.0,0.179,0.01,ccw,-0.299,1.512,5.668,2.319
S14,T05,Young,31,153.0,64.95,F,L,0.8,6.0,C,Treadmill,0.0,6.5,28.5,44.0,67.5,84.0,0.148,0.065,ccw,-0.278,1.782,6.824,2.256
S14,T06,Young,31,153.0,64.95,F,L,0.8,6.0,F,Treadmill,0.0,6.5,26.5,42.0,57.0,84.5,0.149,0.128,ccw,-0.296,1.667,7.064,3.449
S14,T07,Young,31,153.0,64.95,F,L,0.8,6.0,F,Treadmill,0.0,5.5,28.0,41.0,65.0,83.5,0.116,0.185,ccw,-0.268,1.739,0.036,2.381
S14,T08,Young,31,153.0,64.95,F,L,0.8,6.0,VF,Treadmill,0.0,5.5,25.5,40.5,64.0,84.5,0.103,0.266,ccw,-0.272,1.783,-0.055,2.517
S15,OS,Young,23,180.6,89.3,M,R,0.92,15.0,S,Overground,0.0,6.0,30.5,49.5,66.0,84.5,0.124,0.078,ccw,1.35,3.995,11.266,4.126
S15,T01,Young,23,180.6,89.3,M,R,0.921666666666667,15.0,VS,Treadmill,0.0,5.5,27.5,52.5,66.0,93.5,0.108,0.109,cw,-0.011,3.271,5.113,5.413
S15,T02,Young,23,180.6,89.3,M,R,0.923055555555556,15.0,VS,Treadmill,0.0,6.5,30.5,53.5,69.0,83.5,0.159,0.065,cw,-0.074,3.698,6.303,4.152
S15,T04,Young,23,180.6,89.3,M,R,0.92,15.0,S,Treadmill,0.0,7.0,31.0,50.0,66.5,86.5,0.161,0.08,ccw,-0.071,3.97,15.722,4.196
S15,T05,Young,23,180.6,89.3,M,R,0.922222222222223,15.0,C,Treadmill,0.0,6.5,22.5,36.0,49.5,86.5,0.09,0.154,ccw,0.044,4.375,2.213,17.565
S15,T06,Young,23,180.6,89.3,M,R,0.92388888888889,15.0,F,Treadmill,0.0,6.5,22.5,47.5,64.0,86.5,0.077,0.273,ccw,0.428,3.427,-3.781,4.382
S15,T07,Young,23,180.6,89.3,M,R,0.92,15.0,F,Treadmill,0.0,7.0,23.5,45.0,62.5,86.0,0.085,0.33,ccw,0.375,2.685,-5.994,4.351
S15,T08,Young,23,180.6,89.3,M,R,0.92,15.0,VF,Treadmill,0.0,7.5,22.5,45.0,61.5,89.0,0.099,0.391,ccw,0.243,2.437,-4.03,4.298
S16,OC,Young,31,172.9,77.9,M,R,0.88,9.0,C,Overground,0.0,6.5,21.5,45.5,64.0,82.0,0.108,0.077,ccw,1.086,1.908,7.157,5.475
S16,OF,Young,31,172.9,77.9,M,R,0.88,9.0,F,Overground,0.0,7.0,25.5,42.0,61.5,79.5,0.028,0.131,ccw,1.461,2.22,11.01,6.251
S16,OS,Young,31,172.9,77.9,M,R,0.88,9.0,S,Overground,0.0,6.5,30.5,48.0,63.5,78.0,0.111,0.026,cw,0.674,1.841,6.987,6.559
S16,T01,Young,31,172.9,77.9,M,R,0.88,9.0,VS,Treadmill,0.0,5.0,41.0,54.0,69.0,82.0,0.098,0.108,cw,-0.196,2.869,5.139,5.834
S16,T02,Young,31,172.9,77.9,M,R,0.88,9.0,VS,Treadmill,0.0,5.5,34.5,51.5,66.5,81.5,0.106,0.089,cw,-0.144,2.77,7.341,6.943
S16,T03,Young,31,172.9,77.9,M,R,0.88,9.0,S,Treadmill,0.0,6.5,28.5,49.5,67.5,83.0,0.148,0.014,cw,-0.095,2.72,7.992,5.984
S16,T04,Young,31,172.9,77.9,M,R,0.88,9.0,S,Treadmill,0.0,7.0,30.0,46.5,66.5,83.5,0.151,0.006,ccw,-0.023,2.731,8.668,6.101
S16,T05,Young,31,172.9,77.9,M,R,0.88,9.0,C,Treadmill,0.0,6.5,28.5,42.0,66.0,83.5,0.116,0.059,ccw,-0.022,3.583,10.487,5.745
S16,T06,Young,31,172.9,77.9,M,R,0.88,9.0,F,Treadmill,0.0,7.0,28.5,44.0,65.0,83.5,0.101,0.073,ccw,-0.029,2.833,13.575,6.119
S16,T07,Young,31,172.9,77.9,M,R,0.88,9.0,F,Treadmill,0.0,7.0,30.0,43.5,63.5,82.5,0.058,0.102,ccw,-0.08,3.506,0.035,7.207
S16,T08,Young,31,172.9,77.9,M,R,0.88,9.0,VF,Treadmill,0.0,6.0,27.5,40.5,61.5,81.0,0.007,0.027,ccw,0.303,2.017,0.042,5.567
S17,OC,Young,28,185.5,79.05,M,R,0.98,11.0,C,Overground,0.0,5.5,27.0,45.5,66.5,88.5,0.093,0.151,ccw,1.358,3.151,10.17,3.464
S17,OF,Young,28,185.5,79.05,M,R,0.98,11.0,F,Overground,0.0,5.0,25.0,42.5,64.5,85.5,0.084,0.269,ccw,1.558,2.638,12.649,3.676
S17,OS,Young,28,185.5,79.05,M,R,0.98,11.0,S,Overground,0.0,5.5,31.5,45.5,70.0,88.0,0.108,0.103,ccw,1.06,2.673,7.646,3.111
S17,T01,Young,28,185.5,79.05,M,R,0.98,11.0,VS,Treadmill,0.0,3.5,33.0,48.0,71.0,87.0,0.125,0.017,cw,-0.673,4.149,0.083,4.334
S17,T02,Young,28,185.5,79.05,M,R,0.98,11.0,VS,Treadmill,0.0,3.0,32.0,47.0,68.5,87.0,0.131,0.001,ccw,-0.242,3.98,0.064,4.928
S17,T03,Young,28,185.5,79.05,M,R,0.98,11.0,S,Treadmill,0.0,5.0,32.5,45.5,69.5,89.5,0.108,0.086,ccw,-0.109,4.869,0.042,3.984
S17,T04,Young,28,185.5,79.05,M,R,0.98,11.0,S,Treadmill,0.0,5.0,30.5,45.5,67.5,90.0,0.097,0.133,ccw,0.004,4.529,0.023,4.052
S17,T05,Young,28,185.5,79.05,M,R,0.98,11.0,C,Treadmill,0.0,6.0,31.0,44.0,67.0,88.5,0.128,0.133,ccw,-0.004,3.514,0.047,3.873
S17,T06,Young,28,185.5,79.05,M,R,0.98,11.0,F,Treadmill,0.0,5.5,30.0,45.0,65.5,88.5,0.125,0.165,ccw,0.107,3.191,17.374,4.284
S17,T07,Young,28,185.5,79.05,M,R,0.98,11.0,F,Treadmill,0.0,5.5,23.5,43.0,64.5,86.5,0.111,0.247,ccw,0.145,2.839,0.013,4.358
S17,T08,Young,28,185.5,79.05,M,R,0.98,11.0,VF,Treadmill,0.0,6.0,23.5,41.5,63.0,84.0,0.097,0.33,ccw,0.428,3.012,-0.022,4.681
S18,OC,Young,28,167.5,59.3,F,R,0.86,16.0,C,Overground,0.0,6.5,29.0,44.0,63.0,88.0,0.098,0.153,ccw,0.672,2.047,8.146,3.334
S18,OF,Young,28,167.5,59.3,F,R,0.86,16.0,F,Overground,0.0,6.5,23.0,41.5,61.0,87.0,0.06,0.24,ccw,0.83,1.17,11.115,3.588
S18,OS,Young,28,167.5,59.3,F,R,0.86,16.0,S,Overground,0.0,5.5,27.0,48.5,65.5,81.0,0.124,0.052,ccw,0.442,1.024,6.559,3.834
S18,T01,Young,28,167.5,59.3,F,R,0.86,16.0,VS,Treadmill,0.0,3.0,31.0,55.5,68.5,82.0,0.043,0.119,cw,-0.495,3.244,3.124,3.99
S18,T02,Young,28,167.5,59.3,F,R,0.86,16.0,VS,Treadmill,0.0,4.5,31.0,52.5,67.5,84.0,0.097,0.091,cw,-0.388,3.072,5.607,4.913
S18,T03,Young,28,167.5,59.3,F,R,0.86,16.0,S,Treadmill,0.0,5.5,30.0,50.5,65.0,84.0,0.154,0.038,cw,-0.326,2.423,7.227,5.001
S18,T04,Young,28,167.5,59.3,F,R,0.86,16.0,S,Treadmill,0.0,5.5,29.5,49.0,63.0,85.0,0.086,0.045,cw,-0.222,1.676,6.657,4.422
S18,T05,Young,28,167.5,59.3,F,R,0.86,16.0,C,Treadmill,0.0,6.5,31.5,46.5,63.5,88.0,0.123,0.081,ccw,-0.214,2.554,11.535,4.827
S18,T06,Young,28,167.5,59.3,F,R,0.86,16.0,F,Treadmill,0.0,6.5,29.5,42.5,62.5,87.0,0.094,0.136,ccw,-0.232,2.202,12.76,4.69
S18,T07,Young,28,167.5,59.3,F,R,0.86,16.0,F,Treadmill,0.0,6.5,32.0,46.0,62.0,89.5,0.085,0.255,ccw,-0.402,2.557,-8.371,4.176
S18,T08,Young,28,167.5,59.3,F,R,0.86,16.0,VF,Treadmill,0.0,6.5,28.5,45.5,61.0,90.5,0.072,0.267,ccw,-0.362,2.177,-4.096,4.186
S19,OC,Young,29,175.8,66.25,M,R,0.89,11.0,C,Overground,0.0,5.0,31.0,47.5,69.5,89.5,0.092,0.117,ccw,1.105,1.968,8.913,2.732
S19,OF,Young,29,175.8,66.25,M,R,0.89,11.0,F,Overground,0.0,5.5,31.0,45.0,66.0,85.5,0.074,0.231,ccw,1.517,1.867,11.307,3.1
S19,OS,Young,29,175.8,66.25,M,R,0.89,11.0,S,Overground,0.0,4.5,24.0,50.0,71.0,87.5,0.097,0.067,ccw,0.763,1.445,7.162,2.622
S19,T01,Young,29,175.8,66.25,M,R,0.89,11.0,VS,Treadmill,0.0,5.0,38.0,55.0,76.5,89.5,0.255,0.028,cw,-0.191,3.481,3.615,2.664
S19,T02,Young,29,175.8,66.25,M,R,0.89,11.0,VS,Treadmill,0.0,5.0,26.5,50.0,72.0,87.0,0.165,0.015,ccw,-0.232,2.769,7.46,3.12
S19,T03,Young,29,175.8,66.25,M,R,0.89,11.0,S,Treadmill,0.0,4.5,31.5,51.5,70.0,87.0,0.169,0.009,ccw,-0.407,2.748,7.9,3.403
S19,T04,Young,29,175.8,66.25,M,R,0.89,11.0,S,Treadmill,0.0,5.5,30.5,50.5,69.5,88.0,0.174,0.043,ccw,-0.199,2.311,8.161,3.455
S19,T05,Young,29,175.8,66.25,M,R,0.89,11.0,C,Treadmill,0.0,5.5,31.5,49.5,68.0,88.0,0.174,0.071,ccw,-0.012,2.415,8.247,3.877
S19,T06,Young,29,175.8,66.25,M,R,0.89,11.0,F,Treadmill,0.0,5.5,30.5,49.5,66.5,87.0,0.181,0.082,ccw,0.01,2.065,9.251,4.18
S19,T07,Young,29,175.8,66.25,M,R,0.89,11.0,F,Treadmill,0.0,6.0,31.5,47.5,66.0,87.0,0.144,0.15,ccw,0.062,2.141,12.514,4.335
S19,T08,Young,29,175.8,66.25,M,R,0.89,11.0,VF,Treadmill,0.0,6.5,31.5,46.0,65.0,85.5,0.142,0.228,ccw,-0.014,2.061,17.179,4.937
S20,OC,Young,21,169.5,62.45,F,R,0.88,9.0,C,Overground,0.0,5.5,29.5,47.5,65.0,88.0,0.098,0.152,ccw,1.529,3.812,9.109,2.795
S20,OF,Young,21,169.5,62.45,F,R,0.88,9.0,F,Overground,0.0,6.5,30.0,44.5,63.5,86.0,0.022,0.259,ccw,2.271,3.45,0.014,3.384
S20,OS,Young,21,169.5,62.45,F,R,0.88,9.0,S,Overground,0.0,6.0,30.5,50.5,68.5,87.0,0.124,0.094,ccw,0.826,2.88,6.871,2.834
S20,T01,Young,21,169.5,62.45,F,R,0.88,9.0,VS,Treadmill,0.0,4.0,20.5,55.0,71.0,85.0,0.117,0.078,cw,-0.698,3.079,3.382,3.218
S20,T02,Young,21,169.5,62.45,F,R,0.88,9.0,VS,Treadmill,0.0,5.0,30.5,53.0,70.0,85.5,0.139,0.052,cw,-0.394,3.125,4.32,3.162
S20,T03,Young,21,169.5,62.45,F,R,0.88,9.0,S,Treadmill,0.0,5.5,31.0,51.5,68.5,86.5,0.177,0.006,ccw,-0.223,2.862,6.105,3.237
S20,T04,Young,21,169.5,62.45,F,R,0.88,9.0,S,Treadmill,0.0,6.0,35.0,50.0,66.0,86.0,0.162,0.026,ccw,-0.2,2.697,7.426,3.439
S20,T05,Young,21,169.5,62.45,F,R,0.88,9.0,C,Treadmill,0.0,6.5,31.5,48.5,65.5,88.5,0.14,0.112,ccw,0.041,2.72,9.487,3.397
S20,T06,Young,21,169.5,62.45,F,R,0.88,9.0,F,Treadmill,0.0,6.5,31.0,47.5,65.0,87.0,0.095,0.163,ccw,0.248,2.764,16.702,3.938
S20,T07,Young,21,169.5,62.45,F,R,0.88,9.0,F,Treadmill,0.0,6.5,30.5,46.5,64.0,87.0,0.067,0.187,ccw,0.573,2.427,0.029,4.179
S20,T08,Young,21,169.5,62.45,F,R,0.88,9.0,VF,Treadmill,0.0,6.0,27.0,45.5,64.0,88.0,0.042,0.219,ccw,0.749,1.777,-0.033,4.316
S21,OC,Young,22,180.7,61.5,M,R,0.91,12.0,C,Overground,0.0,6.0,25.0,41.0,61.5,82.5,0.098,0.287,ccw,2.628,3.652,7.982,3.143
S21,OF,Young,22,180.7,61.5,M,R,0.91,12.0,F,Overground,0.0,6.5,24.5,43.5,62.5,84.0,0.131,0.256,ccw,2.413,3.069,6.805,3.193
S21,OS,Young,22,180.7,61.5,M,R,0.91,12.0,S,Overground,0.0,6.0,20.5,44.5,64.5,83.0,0.112,0.116,ccw,1.803,2.252,6.678,3.964
S21,T01,Young,22,180.7,61.5,M,R,0.91,12.0,VS,Treadmill,0.0,2.0,28.0,43.5,67.5,84.5,0.128,0.026,ccw,0.024,4.299,0.082,5.145
S21,T02,Young,22,180.7,61.5,M,R,0.91,12.0,VS,Treadmill,0.0,4.5,24.5,44.0,68.0,85.0,0.145,0.063,ccw,-0.294,3.348,7.516,4.356
S21,T03,Young,22,180.7,61.5,M,R,0.91,12.0,S,Treadmill,0.0,4.0,30.0,43.0,65.0,85.0,0.123,0.106,ccw,-0.738,4.383,-0.121,3.988
S21,T04,Young,22,180.7,61.5,M,R,0.91,12.0,S,Treadmill,0.0,5.5,21.5,43.0,65.5,86.5,0.152,0.152,ccw,0.222,2.957,7.479,3.564
S21,T05,Young,22,180.7,61.5,M,R,0.91,12.0,C,Treadmill,0.0,6.5,23.0,44.0,65.0,86.5,0.155,0.226,ccw,0.53,3.117,8.58,3.667
S21,T06,Young,22,180.7,61.5,M,R,0.91,12.0,F,Treadmill,0.0,7.0,23.5,41.0,63.0,86.0,0.113,0.27,ccw,0.869,4.282,10.848,3.627
S21,T07,Young,22,180.7,61.5,M,R,0.91,12.0,F,Treadmill,0.0,7.0,27.0,40.0,62.5,84.5,0.098,0.351,ccw,0.759,4.161,0.049,3.834
S21,T08,Young,22,180.7,61.5,M,R,0.91,12.0,VF,Treadmill,0.0,8.0,24.5,37.5,62.0,85.5,0.083,0.431,ccw,0.91,4.2,0.037,3.757
S22,OC,Young,25,170.5,61.15,F,R,0.87,14.0,C,Overground,0.0,5.5,30.0,44.0,63.0,82.5,0.096,0.229,ccw,1.424,1.863,11.048,3.413
S22,OF,Young,25,170.5,61.15,F,R,0.87,14.0,F,Overground,0.0,6.0,29.0,43.0,60.5,81.0,0.08,0.283,ccw,2.064,1.856,15.352,4.307
S22,OS,Young,25,170.5,61.15,F,R,0.87,14.0,S,Overground,0.0,6.0,32.0,48.5,66.5,84.5,0.12,0.117,ccw,0.769,1.369,7.7,3.297
S22,T01,Young,25,170.5,61.15,F,R,0.87,14.0,VS,Treadmill,0.0,4.5,32.5,52.5,70.5,83.5,0.14,0.049,cw,-0.039,2.144,4.698,3.812
S22,T02,Young,25,170.5,61.15,F,R,0.87,14.0,VS,Treadmill,0.0,5.5,31.5,50.0,67.0,82.5,0.177,0.024,cw,-0.078,1.872,6.814,4.302
S22,T03,Young,25,170.5,61.15,F,R,0.87,14.0,S,Treadmill,0.0,6.5,31.5,49.0,66.5,84.0,0.198,0.029,ccw,0.038,1.819,7.755,4.199
S22,T04,Young,25,170.5,61.15,F,R,0.87,14.0,S,Treadmill,0.0,6.0,29.0,47.5,65.0,83.5,0.174,0.093,ccw,0.053,1.92,9.6,4.363
S22,T05,Young,25,170.5,61.15,F,R,0.87,14.0,C,Treadmill,0.0,6.0,31.5,46.0,63.5,83.0,0.164,0.155,ccw,0.173,2.138,12.542,4.414
S22,T06,Young,25,170.5,61.15,F,R,0.87,14.0,F,Treadmill,0.0,6.0,32.5,45.5,63.0,83.0,0.16,0.208,ccw,0.074,2.21,15.789,4.679
S22,T08,Young,25,170.5,61.15,F,R,0.87,14.0,VF,Treadmill,0.0,6.0,25.5,44.0,61.5,83.5,0.112,0.277,ccw,0.327,1.525,20.0,5.659
S23,OC,Young,28,155.0,44.9,F,R,0.81,14.0,C,Overground,0.0,7.0,25.0,44.5,63.5,84.0,0.104,0.221,ccw,1.239,1.836,10.083,3.807
S23,OF,Young,28,155.0,44.9,F,R,0.81,14.0,F,Overground,0.0,8.0,27.5,41.5,60.5,81.5,0.052,0.308,ccw,1.904,2.844,17.17,3.932
S23,OS,Young,28,155.0,44.9,F,R,0.81,14.0,S,Overground,0.0,6.5,22.5,46.5,66.0,85.0,0.128,0.124,ccw,0.802,1.529,7.12,3.519
S23,T01,Young,28,155.0,44.9,F,R,0.81,14.0,VS,Treadmill,0.0,4.5,39.5,53.5,68.5,82.5,0.107,0.044,cw,0.037,2.281,4.901,3.437
S23,T02,Young,28,155.0,44.9,F,R,0.81,14.0,VS,Treadmill,0.0,5.5,32.0,51.0,67.5,84.0,0.172,0.004,ccw,-0.181,1.904,7.684,3.548
S23,T03,Young,28,155.0,44.9,F,R,0.81,14.0,S,Treadmill,0.0,6.5,30.0,49.0,66.0,84.0,0.163,0.055,ccw,0.007,1.974,8.225,3.6
S23,T04,Young,28,155.0,44.9,F,R,0.81,14.0,S,Treadmill,0.0,7.5,27.5,47.0,65.0,84.5,0.144,0.117,ccw,0.063,1.78,9.478,3.711
S23,T05,Young,28,155.0,44.9,F,R,0.81,14.0,C,Treadmill,0.0,8.0,29.0,45.5,63.0,83.5,0.12,0.188,ccw,0.09,2.053,12.25,3.863
S23,T07,Young,28,155.0,44.9,F,R,0.81,14.0,F,Treadmill,0.0,8.0,27.0,40.0,60.0,83.5,0.031,0.334,ccw,0.071,2.078,0.008,4.195
S23,T08,Young,28,155.0,44.9,F,R,0.81,14.0,VF,Treadmill,0.0,8.0,27.0,42.0,58.5,84.0,0.219,0.373,ccw,-0.062,2.387,-18.598,4.76
S24,OC,Young,37,155.0,69.55,M,R,0.75,9.0,C,Overground,0.0,5.5,29.5,46.0,64.5,83.0,0.082,0.117,ccw,1.034,2.579,9.331,2.761
S24,OF,Young,37,155.0,69.55,M,R,0.75,9.0,F,Overground,0.0,6.5,31.0,47.0,64.0,85.5,0.087,0.137,ccw,1.362,2.682,10.717,2.83
S24,OS,Young,37,155.0,69.55,M,R,0.75,9.0,S,Overground,0.0,4.5,28.0,47.0,65.0,79.5,0.079,0.058,ccw,0.692,2.444,8.038,2.832
S24,T01,Young,37,155.0,69.55,M,R,0.75,9.0,VS,Treadmill,0.0,4.5,29.5,54.0,71.0,84.0,0.093,0.027,cw,-0.251,2.222,4.898,3.569
S24,T02,Young,37,155.0,69.55,M,R,0.75,9.0,VS,Treadmill,0.0,4.5,32.0,54.0,68.5,81.5,0.114,0.021,cw,-0.28,2.207,5.995,3.42
S24,T03,Young,37,155.0,69.55,M,R,0.75,9.0,S,Treadmill,0.0,4.5,30.0,52.5,68.0,83.5,0.141,0.002,cw,-0.108,2.158,6.135,3.287
S24,T04,Young,37,155.0,69.55,M,R,0.75,9.0,S,Treadmill,0.0,5.5,29.5,52.0,67.0,84.0,0.163,0.015,ccw,-0.205,1.913,6.567,3.369
S24,T05,Young,37,155.0,69.55,M,R,0.75,9.0,C,Treadmill,0.0,5.5,30.5,50.0,65.5,84.5,0.146,0.035,ccw,-0.009,1.935,8.101,3.56
S24,T06,Young,37,155.0,69.55,M,R,0.75,9.0,F,Treadmill,0.0,6.5,30.0,49.5,65.0,86.0,0.153,0.052,ccw,-0.153,1.656,9.218,3.341
S24,T07,Young,37,155.0,69.55,M,R,0.75,9.0,F,Treadmill,0.0,6.5,29.5,48.5,64.5,86.0,0.159,0.085,ccw,-0.054,1.383,11.428,3.422
S24,T08,Young,37,155.0,69.55,M,R,0.75,9.0,VF,Treadmill,0.0,6.5,24.5,48.0,64.0,86.0,0.173,0.138,ccw,0.09,1.585,12.373,3.552
S25,OC,Older,59,168.0,67.5,M,R,0.89,7.0,C,Overground,0.0,5.0,26.0,44.5,64.5,84.5,0.093,0.143,ccw,2.307,3.554,8.128,3.644
S25,OF,Older,59,168.0,67.5,M,R,0.89,7.0,F,Overground,0.0,6.0,32.5,45.5,63.5,85.0,0.072,0.25,ccw,2.35,3.876,13.943,4.107
S25,OS,Older,59,168.0,67.5,M,R,0.89,7.0,S,Overground,0.0,4.5,31.0,46.0,66.0,84.5,0.102,0.105,ccw,1.571,3.408,8.659,3.482
S25,T01,Older,59,168.0,67.5,M,R,0.89,7.0,VS,Treadmill,0.0,2.5,28.5,51.5,68.0,81.0,0.061,0.102,cw,-0.201,5.416,5.865,5.595
S25,T02,Older,59,168.0,67.5,M,R,0.89,7.0,VS,Treadmill,0.0,3.0,29.5,52.0,67.0,82.5,0.054,0.097,cw,-0.165,4.33,5.634,4.243
S25,T03,Older,59,168.0,67.5,M,R,0.89,7.0,S,Treadmill,0.0,4.0,31.5,50.0,66.0,83.5,0.108,0.039,cw,-0.002,4.049,9.085,5.48
S25,T04,Older,59,168.0,67.5,M,R,0.89,7.0,S,Treadmill,0.0,4.5,32.5,50.5,66.0,84.5,0.126,0.021,cw,0.153,3.496,9.226,5.466
S25,T05,Older,59,168.0,67.5,M,R,0.89,7.0,C,Treadmill,0.0,5.5,30.0,49.5,65.5,85.0,0.14,0.013,ccw,0.134,3.281,10.325,5.251
S25,T06,Older,59,168.0,67.5,M,R,0.89,7.0,F,Treadmill,0.0,5.5,31.0,48.0,64.5,84.5,0.135,0.055,ccw,-0.036,3.634,13.027,5.236
S25,T07,Older,59,168.0,67.5,M,R,0.89,7.0,F,Treadmill,0.0,6.0,30.0,47.0,63.5,85.0,0.121,0.089,ccw,0.094,3.62,14.195,5.84
S25,T08,Older,59,168.0,67.5,M,R,0.89,7.0,VF,Treadmill,0.0,6.5,30.5,45.0,63.5,85.5,0.087,0.159,ccw,0.389,3.333,20.034,6.174
S26,OC,Older,57,151.5,64.65,F,R,0.81,6.0,C,Overground,0.0,6.0,24.0,43.0,63.5,85.5,0.095,0.156,ccw,1.219,2.227,6.605,3.17
S26,OF,Older,57,151.5,64.65,F,R,0.81,6.0,F,Overground,0.0,6.5,24.5,41.0,62.0,85.5,0.083,0.2,ccw,1.291,1.823,8.071,3.229
S26,OS,Older,57,151.5,64.65,F,R,0.81,6.0,S,Overground,0.0,5.5,28.5,41.5,62.0,81.5,0.147,0.044,ccw,0.567,2.256,6.49,3.604
S26,T01,Older,57,151.5,64.65,F,R,0.81,6.0,VS,Treadmill,0.0,4.0,30.5,48.0,68.0,85.0,0.105,0.031,cw,-0.985,3.238,7.302,4.891
S26,T02,Older,57,151.5,64.65,F,R,0.81,6.0,VS,Treadmill,0.0,5.5,31.5,48.0,67.0,85.0,0.128,0.027,cw,-0.55,2.626,6.559,4.548
S26,T03,Older,57,151.5,64.65,F,R,0.81,6.0,S,Treadmill,0.0,6.0,28.5,44.0,65.5,85.5,0.133,0.033,ccw,-0.44,2.175,7.592,4.307
S26,T04,Older,57,151.5,64.65,F,R,0.81,6.0,S,Treadmill,0.0,6.0,25.0,42.0,64.5,86.0,0.126,0.101,ccw,-0.371,1.916,8.872,3.907
S26,T05,Older,57,151.5,64.65,F,R,0.81,6.0,C,Treadmill,0.0,6.5,26.0,41.0,63.5,87.0,0.116,0.162,ccw,-0.257,1.833,9.945,3.766
S26,T06,Older,57,151.5,64.65,F,R,0.81,6.0,F,Treadmill,0.0,6.5,25.5,40.0,62.5,87.0,0.107,0.222,ccw,-0.239,1.591,10.826,3.592
S26,T07,Older,57,151.5,64.65,F,R,0.81,6.0,F,Treadmill,0.0,6.5,25.5,38.5,61.5,86.0,0.101,0.216,ccw,-0.382,1.165,12.372,3.621
S26,T08,Older,57,151.5,64.65,F,R,0.81,6.0,VF,Treadmill,0.0,7.0,24.5,37.5,60.5,88.0,0.098,0.232,ccw,-0.329,1.105,13.663,3.578
S27,OC,Older,55,165.6,79.1,M,R,0.86,9.0,C,Overground,0.0,6.0,31.5,45.5,63.5,86.0,0.09,0.114,ccw,0.695,2.45,0.07,2.937
S27,OF,Older,55,165.6,79.1,M,R,0.86,9.0,F,Overground,0.0,6.5,30.0,45.0,62.0,88.0,0.067,0.206,ccw,0.878,1.829,-11.113,2.913
S27,OS,Older,55,165.6,79.1,M,R,0.86,9.0,S,Overground,0.0,5.0,30.5,50.5,65.5,86.0,0.116,0.039,ccw,0.392,1.603,7.546,3.022
S27,T01,Older,55,165.6,79.1,M,R,0.86,9.0,VS,Treadmill,0.0,3.5,33.0,54.0,69.5,91.0,0.132,0.057,cw,-1.64,3.406,4.786,3.385
S27,T02,Older,55,165.6,79.1,M,R,0.86,9.0,VS,Treadmill,0.0,4.5,32.5,52.0,67.0,89.0,0.131,0.037,cw,-1.368,2.62,7.113,3.525
S27,T03,Older,55,165.6,79.1,M,R,0.86,9.0,S,Treadmill,0.0,5.0,32.5,50.5,66.5,90.0,0.156,0.017,cw,-1.375,2.213,8.314,3.487
S27,T04,Older,55,165.6,79.1,M,R,0.86,9.0,S,Treadmill,0.0,5.0,32.0,47.0,65.5,91.0,0.157,0.04,ccw,-1.143,2.553,9.725,3.531
S27,T05,Older,55,165.6,79.1,M,R,0.86,9.0,C,Treadmill,0.0,6.0,33.5,47.0,65.0,91.5,0.144,0.073,ccw,-0.703,2.219,9.528,3.211
S27,T06,Older,55,165.6,79.1,M,R,0.86,9.0,F,Treadmill,0.0,6.0,32.5,46.0,64.0,89.5,0.121,0.15,ccw,-0.628,2.136,-0.029,3.091
S27,T08,Older,55,165.6,79.1,M,R,0.86,9.0,VF,Treadmill,0.0,5.5,28.5,43.0,58.0,86.5,0.257,0.145,ccw,-1.435,3.07,2.111,2.273
S28,OC,Older,50,164.5,71.75,M,R,0.87,6.0,C,Overground,0.0,6.5,28.0,46.0,64.0,87.5,0.101,0.152,ccw,1.019,2.494,9.69,4.241
S28,OF,Older,50,164.5,71.75,M,R,0.87,6.0,F,Overground,0.0,7.0,29.0,45.0,62.5,87.5,0.068,0.209,ccw,1.162,2.906,16.927,4.541
S28,OS,Older,50,164.5,71.75,M,R,0.87,6.0,S,Overground,0.0,5.5,23.5,51.5,66.0,85.0,0.133,0.019,ccw,0.607,1.784,6.459,4.037
S28,T01,Older,50,164.5,71.75,M,R,0.87,6.0,VS,Treadmill,0.0,3.0,28.5,55.0,70.0,87.5,0.091,0.068,cw,-0.197,4.619,7.065,4.577
S28,T02,Older,50,164.5,71.75,M,R,0.87,6.0,VS,Treadmill,0.0,4.5,22.0,52.5,67.0,86.0,0.119,0.068,cw,-0.777,3.444,6.753,4.939
S28,T03,Older,50,164.5,71.75,M,R,0.87,6.0,S,Treadmill,0.0,4.5,27.0,51.0,66.5,87.5,0.154,0.024,cw,-1.112,3.325,9.246,5.068
S28,T04,Older,50,164.5,71.75,M,R,0.87,6.0,S,Treadmill,0.0,6.0,27.5,49.0,65.0,87.0,0.166,0.022,ccw,-0.758,2.83,10.346,4.949
S28,T05,Older,50,164.5,71.75,M,R,0.87,6.0,C,Treadmill,0.0,6.5,28.5,47.0,64.0,88.0,0.131,0.073,ccw,-0.476,2.759,15.324,5.33
