,,work abs,work prod,direction
S16,T04,0.15120568253041317,0.005588491097324318,ccw
S17,T04,0.09717014010595879,0.13347860277787654,ccw
S18,T04,0.085747238015537,0.04459959173606469,cw
S19,T04,0.17401974498515252,0.04280028399623316,ccw
S20,T04,0.16225738223609903,0.026478681945694166,ccw
S21,T04,0.15177086267901496,0.1523434271786506,ccw
S22,T04,0.17364649587254039,0.09289538867817204,ccw
S23,T04,0.1438553666958859,0.11691551559265873,ccw
S24,T04,0.16256240061674157,0.014939145820038713,ccw
S25,T04,0.12552026343313138,0.021205347780088132,cw
S26,T04,0.12600696832241898,0.10051639702361938,ccw
S27,T04,0.1566392038140562,0.03975224847852237,ccw
S28,T04,0.16629818361903934,0.02188118795569228,ccw
S29,T04,0.13117332170582474,0.010948426241082564,ccw
S30,T04,0.19290279977891478,0.06615613497220889,cw
S31,T04,0.17085519448148506,0.0534475374523643,ccw
S32,T04,0.08492868031179467,0.17612549036145128,ccw
S33,T04,0.1468163178628847,0.06545818448647772,ccw
S34,T04,0.18436144624305,0.025136533247930085,ccw
S35,T04,0.16213605768386516,0.03121801372761952,ccw
S36,T04,0.15796821318863347,0.026950215018679995,ccw
S37,T04,0.06401503142596568,0.07448463197380135,ccw
S38,T04,0.19340573971974834,0.04702264352593241,ccw
S39,T04,0.08497046676246837,0.07114128936382312,ccw
S40,T04,0.09917533063310645,0.14788574344988922,ccw
S41,T04,0.10022466957740155,0.042367078118990716,ccw
S42,T04,0.10525265673210273,0.008468399263748027,ccw
S01,T05,0.08744798660708868,0.1635651661081828,ccw
S02,T05,0.10758564667954329,0.2902770232876818,ccw
S03,T05,0.14655894661080285,0.03841263467559087,ccw
S04,T05,0.21375355998246592,0.11069214714545358,ccw
S05,T05,0.1515620570814315,0.19358269600085065,ccw
S06,T05,0.13958484966291043,0.11864104907579709,ccw
S07,T05,0.14655894661080285,0.03841263467559087,ccw
S08,T05,0.22538442046925677,0.09872413794339308,ccw
S09,T05,0.18035520306691954,0.13935558059271136,ccw
S10,T05,0.10963043660078581,0.026366996143676238,ccw
S11,T05,0.1246698771408364,0.37582972608055115,ccw
S12,T05,0.17855584896286797,0.018575062501731573,ccw
S13,T05,0.17137587017400524,0.02292382425315692,ccw
S14,T05,0.14766897766729414,0.06482696172069174,ccw
S15,T05,0.09024516887703822,0.15406684211288943,ccw
S16,T05,0.11613188625102946,0.0591612568129276,ccw
S17,T05,0.12812008357290486,0.13260419681254182,ccw
S18,T05,0.12299513098816446,0.08074704603212718,ccw
S19,T05,0.17424023831045726,0.07050727483856348,ccw
S20,T05,0.13980455495449906,0.11243555437704736,ccw
S21,T05,0.15536979791835914,0.22566823106144981,ccw
S22,T05,0.16401785839535157,0.15485854660488058,ccw
S23,T05,0.11971622352408237,0.18815055037068432,ccw
S24,T05,0.1461366749484653,0.03484582622151015,ccw
S25,T05,0.1403802528156193,0.01333724215032033,ccw
S26,T05,0.11550087769660634,0.16234994972440323,ccw
S27,T05,0.14422137596191476,0.07263817527925559,ccw
S28,T05,0.1308057641893494,0.07251584929275548,ccw
S29,T05,0.14570177363995543,0.04194789455102222,ccw
S30,T05,0.20001761125597717,0.03689536348952021,cw
S31,T05,0.14885928720545874,0.09404193164227748,ccw
S32,T05,0.09492197225577219,0.2614573058131276,ccw
S33,T05,0.12382899894595159,0.10731016504366205,ccw
S34,T05,0.1752787611413651,0.05966206083720239,ccw
S35,T05,0.16483522487690494,0.031333918716689314,ccw
S36,T05,0.17173204098142505,0.02317371683650602,ccw
S37,T05,0.04074070744714733,0.0704199548713073,ccw
S38,T05,0.17840098281776826,0.13676737057729685,ccw
S39,T05,0.08708315587637,0.0987638374352155,ccw
S40,T05,0.0900847171111624,0.19408872803950575,ccw
S41,T05,0.0950045611564932,0.08924124407473528,ccw
S42,T05,0.1253057743735902,0.05005209602179448,ccw
S01,T06,0.0767738949700688,0.1982372838156548,ccw
S02,T06,0.10118626097773394,0.22155574247647605,ccw
S03,T06,0.1797968759090438,0.0757791092330177,ccw
S04,T06,0.1933093619480997,0.20153755701790962,ccw
S05,T06,0.13272177521628484,0.164686621776825,ccw
S06,T06,0.12077592632047997,0.1833289231844942,ccw
S07,T06,0.1797968759090438,0.0757791092330177,ccw
S08,T06,0.21503848729169572,0.17910015655145162,ccw
S09,T06,0.15143996473040855,0.19474330951530014,ccw
S10,T06,0.17416856632341646,0.17836867299078094,ccw
S11,T06,0.10468289389874014,0.3248559830359062,ccw
S12,T06,0.15331992919535992,0.05407359593290776,ccw
S13,T06,0.1697680101868323,0.04914100369192299,ccw
S14,T06,0.1485543128690418,0.128211190227796,ccw
S15,T06,0.0768401861955062,0.2728475450293867,ccw
S16,T06,0.10125109127222728,0.07316334771263637,ccw
S17,T06,0.12461646453097727,0.16518581498507642,ccw
S18,T06,0.0935404449794787,0.13577226916234675,ccw
S19,T06,0.18065723500867925,0.081730766920362,ccw
S20,T06,0.09457824432402767,0.16317162110391253,ccw
S21,T06,0.11272603142138497,0.27033753350175344,ccw
S22,T06,0.1603083894739018,0.2076141432287302,ccw
S23,T06,0.08297067642728242,0.031858201463568506,cw
S24,T06,0.15349109638444983,0.05220885414964261,ccw
S25,T06,0.13490810965624012,0.054995367900296924,ccw
S26,T06,0.10665179958700717,0.22233091821441167,ccw
S27,T06,0.120896991487061,0.15015669110670254,ccw
S28,T06,0.0791779773430607,0.14142498954891303,ccw
S29,T06,0.10390764830934693,0.146777813667815,ccw
S30,T06,0.2541080853360225,0.01075038390999337,cw
S31,T06,0.15169904995992475,0.14999526819495884,ccw
S32,T06,0.05927693014852449,0.1727713830933681,ccw
S33,T06,0.10028308438051597,0.1662037073164908,ccw
S34,T06,0.17840269627626712,0.11865525796068599,ccw
S35,T06,0.13948916042605353,0.10204636920451253,ccw
S36,T06,0.1358592503234643,0.08513358218912398,ccw
S37,T06,0.04672991177852805,0.11273862467575725,ccw
S38,T06,0.15208626110166767,0.24500967392883122,ccw
S39,T06,0.08227673785431106,0.17045748566811592,ccw
S40,T06,0.06808229759181382,0.29334252524220217,ccw
S41,T06,0.0802418848506163,0.1624563986810263,ccw
S42,T06,0.10853598854211474,0.04801799600938839,ccw
S01,T07,0.04485781463039324,0.2866547465888979,ccw
S02,T07,0.09481422036736675,0.29897646703312536,ccw
S03,T07,0.04599879334365411,0.04298719578395528,cw
S04,T07,0.1536186626625849,0.2973575504398032,ccw
S05,T07,0.11413535470378267,0.2719993891546765,ccw
S06,T07,0.1057409858299535,0.21262608189678153,ccw
S07,T07,0.04599879334365411,0.04298719578395528,cw
S08,T07,0.174894641185162,0.2451966960228567,ccw
S09,T07,0.1223510366373666,0.24310855293841352,ccw
S10,T07,0.17366050352058465,0.2894010985984047,ccw
S11,T07,0.07729202838598535,0.3999716917220472,ccw
S12,T07,0.1639760210059182,0.11570811902250731,ccw
S13,T07,0.1698545866293218,0.07355160294143778,ccw
S14,T07,0.11603342333658351,0.18518400962566017,ccw
S15,T07,0.08491637716516673,0.3296012612423071,ccw
S16,T07,0.05768087282332071,0.10154377436595087,ccw
S17,T07,0.11128420382792134,0.2467415649697549,ccw
S18,T07,0.08508216182683662,0.2547909658040703,ccw
S19,T07,0.14445546504651505,0.14950412571192218,ccw
S20,T07,0.06698761738846254,0.18686685731774444,ccw
S21,T07,0.09821539282086648,0.3509202057195362,ccw
S22,T07,0.04560246919468376,0.05078804580320631,ccw
S23,T07,0.031134858666938638,0.33437920552639755,ccw
S24,T07,0.15855342177182383,0.08489182476608746,ccw
S25,T07,0.12130002211207452,0.08908170254563982,ccw
S26,T07,0.10144128558451493,0.21566385426368667,ccw
S27,T07,0.012734156793757253,0.07746157019489318,cw
S28,T07,0.01671116104156531,0.13279545874862794,ccw
S29,T07,0.10337329750931305,0.19308381962808083,ccw
S30,T07,0.2389394283343097,0.050263473437400855,ccw
S31,T07,0.13071566846157628,0.21700524722294645,ccw
S33,T07,0.07795899422081189,0.18779059990982316,ccw
S34,T07,0.174942566790517,0.0980222773130297,ccw
S35,T07,0.08175405764309135,0.16498366896370278,ccw
S36,T07,0.005696778556313895,0.03441499992831628,cw
S37,T07,0.05683515355472279,0.1459046060294136,ccw
S38,T07,0.10572293827629586,0.23081927947810216,ccw
S40,T07,0.049428802617431586,0.3624741407530571,ccw
S41,T07,0.054283031833767925,0.21830086798418616,ccw
S42,T07,0.1039096179437379,0.0613195903272645,ccw
S01,T08,0.03594645239974137,0.35322144673674466,ccw
S02,T08,0.09863752067082206,0.43805919385014447,ccw
S03,T08,0.16109672141408618,0.16315416813774594,ccw
S04,T08,0.15750774718712154,0.2791098425863919,ccw
S05,T08,0.05930665965354642,0.20927864440194333,ccw
S06,T08,0.011278645004604838,0.0034557715957760633,ccw
S07,T08,0.16109672141408618,0.16315416813774594,ccw
S08,T08,0.1288393945515031,0.2632431710766677,ccw
S09,T08,0.07207218603184108,0.2521915978644257,ccw
S10,T08,0.12671705956026882,0.32876339787190884,ccw
S11,T08,0.10109289310503718,0.4942318765964391,ccw
S12,T08,0.13912631084880822,0.18609728748695958,ccw
S13,T08,0.1627287604085193,0.12899351138622217,ccw
S14,T08,0.10278364121219026,0.26624663216545263,ccw
S15,T08,0.09911644795638203,0.3908630807708878,ccw
S16,T08,0.007279719202064862,0.02654513739966476,ccw
S17,T08,0.09740222834726825,0.3300057242516703,ccw
S18,T08,0.07198641632876097,0.26742997062305596,ccw
S19,T08,0.14170286686561395,0.2278094988849186,ccw
S20,T08,0.0415630130049477,0.21915579673421265,ccw
S21,T08,0.08279232603942532,0.43110959015592915,ccw
S22,T08,0.11212232967333419,0.2772236069684288,ccw
S23,T08,0.2194617471739313,0.3731197925904035,ccw
S24,T08,0.1726379804936421,0.138251224434488,ccw
S25,T08,0.08711330680277958,0.15897175920395043,ccw
S26,T08,0.09845174008976808,0.23197887368376977,ccw
S27,T08,0.25676994746132537,0.14456057278843765,ccw
S30,T08,0.23114218518901175,0.052932029240268,ccw
S31,T08,0.12500544294477522,0.27714367759099334,ccw
S33,T08,0.08864880594087562,0.23275480251988023,ccw
S34,T08,0.17252948165502136,0.1296008351923514,ccw
S35,T08,0.038325980046769174,0.14352537188218825,ccw
S38,T08,0.07000424815034814,0.23849378410555785,ccw
S40,T08,0.06064515709946275,0.28214117029977853,ccw
S41,T08,0.06056618090949392,0.26096142153926427,ccw
S42,T08,0.08551349382627856,0.09262099101578282,ccw
S01,OS,0.08929909765289415,0.10440855187954992,ccw
S02,OS,0.12310225626444826,0.06201133349682205,ccw
S03,OS,0.20786808362418613,0.015197106973325129,cw
S04,OS,0.15196186183132945,0.06107457886079227,ccw
S05,OS,0.11987989102523025,0.031344241043160616,ccw
S06,OS,0.11540021986249882,0.05667381692243332,ccw
S07,OS,0.20786808362418613,0.015197106973325129,cw
S08,OS,0.1794991977313251,0.027801255425862183,ccw
S09,OS,0.14489819169334003,0.06765806461605532,ccw
S10,OS,0.1560760019718713,0.06897677044672604,ccw
S11,OS,0.12549849599479532,0.1206616220759968,ccw
S12,OS,0.15460986144606037,0.0004733657412359339,ccw
S13,OS,0.15184514740266547,0.03534206389144845,ccw
S14,OS,0.12063558578313066,0.05100484558687308,ccw
S15,OS,0.12380743745779282,0.07762048216830189,ccw
S16,OS,0.11147347036198242,0.025573286220720633,cw
S17,OS,0.1076988652678938,0.1031952605396586,ccw
S18,OS,0.12392596564735836,0.05218541589529704,ccw
S19,OS,0.09683694550615682,0.06660847401285548,ccw
S20,OS,0.12414955910571845,0.09418912322373643,ccw
S21,OS,0.11222955868410073,0.11594344466693741,ccw
S22,OS,0.11974384061734844,0.11742815873232523,ccw
S23,OS,0.12768010191280726,0.12410933373713942,ccw
S24,OS,0.07887948349102324,0.05839422280060465,ccw
S25,OS,0.10157166653465727,0.10533416343283475,ccw
S26,OS,0.14658625283696672,0.04437117278425801,ccw
S27,OS,0.11621478901085203,0.039188437131417606,ccw
S28,OS,0.13341982196319357,0.01873530926054669,ccw
S29,OS,0.13120163530494194,0.05408476372366019,ccw
S30,OS,0.16100783208385414,0.03530990973819095,cw
S31,OS,0.15250027670447366,0.052200133843882314,ccw
S32,OS,0.13754114391388092,0.024258572148513447,ccw
S33,OS,0.1293504509310121,0.09845269243174323,ccw
S34,OS,0.1321386375725456,0.05378882337258558,ccw
S35,OS,0.12258674418507404,0.05892600627912734,ccw
S36,OS,0.11969473142063886,0.02538349764427996,ccw
S37,OS,0.07330900294317391,0.03661187702319117,ccw
S38,OS,0.12903373851791702,0.11054688672048116,ccw
S39,OS,0.12148774849697849,0.03587203208314685,ccw
S40,OS,0.09496201534303761,0.1142418713663504,ccw
S41,OS,0.0702962536158446,0.0471714721769291,ccw
S01,OC,0.06065490253029768,0.18495488470908744,ccw
S02,OC,0.0801453471756257,0.21892406218764537,ccw
S03,OC,0.16624537532324377,0.08426751127504008,ccw
S04,OC,0.14712048901622593,0.15904555968163284,ccw
S05,OC,0.12562396223434572,0.09828807513001847,ccw
S06,OC,0.09286915932986843,0.14169293833466726,ccw
S07,OC,0.16624537532324377,0.08426751127504008,ccw
S08,OC,0.16814561219765364,0.13269753047074218,ccw
S09,OC,0.10922611310733857,0.18075896671426586,ccw
S10,OC,0.13769328348543025,0.19944671365680613,ccw
S11,OC,0.11345068491110682,0.24473250545907196,ccw
S12,OC,0.12310964372686861,0.11401168311268003,ccw
S13,OC,0.13513986878631795,0.0763642742881828,ccw
S14,OC,0.10132030936217318,0.07656817352105173,ccw
S15,OC,0.07800599782035937,0.20737560270026484,ccw
S16,OC,0.10819289068569954,0.07662598041402593,ccw
S17,OC,0.09331267787601152,0.1506850318578095,ccw
S18,OC,0.09821761961418106,0.1534663226577103,ccw
S19,OC,0.092425811828318,0.11702869860070093,ccw
S20,OC,0.0979126178454077,0.1522803330754997,ccw
S21,OC,0.09750389990787844,0.28726492123527125,ccw
S22,OC,0.09582954749969186,0.22903218430759126,ccw
S23,OC,0.10435679675167156,0.2213746273997911,ccw
S24,OC,0.08167713744569065,0.11723401218291986,ccw
S25,OC,0.09319111263439472,0.14333237294960796,ccw
S26,OC,0.09490523381016072,0.15644775087377338,ccw
S27,OC,0.09020321581845991,0.11427269426274755,ccw
S28,OC,0.10060440753629388,0.15234266331278218,ccw
S29,OC,0.0936861871375137,0.18022551450249422,ccw
S30,OC,0.16870005946085184,0.018625349323599435,ccw
S31,OC,0.13715819067758733,0.0735391275894053,ccw
S32,OC,0.052120446671453685,0.19269150063873955,ccw
S33,OC,0.12465636017975532,0.14047462726365004,ccw
S34,OC,0.12174219896945374,0.12113031563377498,ccw
S35,OC,0.11120344111106042,0.12162957722205447,ccw
S36,OC,0.10901514802397982,0.12769664897443286,ccw
S37,OC,0.06622472146416107,0.05068815261785912,ccw
S38,OC,0.13378246565294022,0.17776225391475622,ccw
S39,OC,0.07204599292396346,0.08771478687848486,ccw
S40,OC,0.054653906201783134,0.2266899738608937,ccw
S41,OC,0.06419342710571473,0.13007159432686294,ccw
S42,OC,0.10889389665825627,0.08975487933200371,ccw
S01,OF,0.007502802262764126,0.34290047472937374,ccw
S02,OF,0.06942151836634966,0.31616307420519524,ccw
S03,OF,0.10060924864253418,0.15168942554165704,ccw
S04,OF,0.1662631754269973,0.19775015484654004,ccw
S05,OF,0.08793730783284928,0.15242102756531914,ccw
S06,OF,0.07561534194467903,0.2238569982685195,ccw
S07,OF,0.10060924864253418,0.15168942554165704,ccw
S08,OF,0.15256270267761868,0.30641167377791517,ccw
S09,OF,0.059534879465380414,0.27680397786494076,ccw
S10,OF,0.1003447282419006,0.32909950682968503,ccw
S11,OF,0.08542340497529666,0.41190324342166845,ccw
S12,OF,0.10468854487424581,0.21872596716525575,ccw
S13,OF,0.12664952700041732,0.1272088564006431,ccw
S14,OF,0.059815350431027633,0.20189159817527824,ccw
S16,OF,0.02809791940699806,0.1305657815824951,ccw
S17,OF,0.084262725268165,0.2688137096670902,ccw
S18,OF,0.06029004542255842,0.24028232470036956,ccw
S19,OF,0.07412934637258853,0.23130768947433722,ccw
S20,OF,0.021754816002859313,0.25902071352128364,ccw
S21,OF,0.13090449503717363,0.2560309995253264,ccw
S22,OF,0.07994461135020611,0.28263460860880935,ccw
S23,OF,0.05235370592589733,0.30770345625161927,ccw
S24,OF,0.08663220742564126,0.1370273388277132,ccw
S25,OF,0.07218658447726542,0.2497758236828753,ccw
S26,OF,0.08310253207928527,0.20046364471447162,ccw
S27,OF,0.06715968994508052,0.20641235934783791,ccw
S28,OF,0.06806073209099475,0.20912932846010907,ccw
S29,OF,0.08835626581861175,0.26517915042075224,ccw
S30,OF,0.1584901176860665,0.07902006824264103,ccw
S31,OF,0.11099746453255913,0.17036761785317545,ccw
S32,OF,0.030763123390327524,0.3253260220806861,ccw
S33,OF,0.09434005170055648,0.20864953121853672,ccw
S34,OF,0.10503777320865984,0.17434935466082604,ccw
S35,OF,0.08777195866549271,0.22033375712679593,ccw
S36,OF,0.0766137501206855,0.21579326891925532,ccw
S38,OF,0.061802823462727835,0.2796231348835072,ccw
S39,OF,0.06861838540390866,0.16509029355144206,ccw
S40,OF,0.01661176457437669,0.328577991622889,ccw
S41,OF,0.03904224625215959,0.17654097679086891,ccw
S42,OF,0.10227635823112083,0.08354574887766487,ccw
