Speed,QS phase,intercept,stiffness
S01_0004_Gait,ERP,4.057662983622464,327.19157079762687
S01_0004_Gait,LRP,-5.59793765026005,561.6290039645805
S01_0004_Gait,DP,50.57244376161285,221.17478729906009
S01_0010_Gait,ERP,15.258079903914881,327.19157079762687
S01_0010_Gait,LRP,50.64070845386275,561.6290039645805
S01_0010_Gait,DP,78.83114887390934,221.17478729906009
S02_0012_Gait,ERP,11.253960111368738,127.4391590777855
S02_0012_Gait,LRP,-97.3619804781616,468.51723621435724
S02_0012_Gait,DP,32.87044353454998,182.66161181786092
S03_0003_Gait,ERP,6.1701359212046345,152.04445011181096
S03_0003_Gait,LRP,-9.974695626030794,470.5704048601578
S03_0003_Gait,DP,32.66113272729166,214.3839094369247
S03_0005_Gait,ERP,1.4443016898610783,152.04445011181096
S03_0005_Gait,LRP,-28.26367578400911,470.5704048601578
S03_0005_Gait,DP,27.77320320570289,214.3839094369247
S03_0007_Gait,ERP,6.292478090454343,152.04445011181096
S03_0007_Gait,LRP,-7.531846863114296,470.5704048601578
S03_0007_Gait,DP,32.65483426129127,214.3839094369247
S03_0013_Gait,ERP,-1.670141274895994,152.04445011181096
S03_0013_Gait,LRP,-26.670888819203896,470.5704048601578
S03_0013_Gait,DP,48.80436130148535,214.3839094369247
S03_0019_Gait,ERP,2.2998584851648483,152.04445011181096
S03_0019_Gait,LRP,-12.087949949328005,470.5704048601578
S03_0019_Gait,DP,37.303844776225034,214.3839094369247
S04_0004_Gait,ERP,19.034462188909515,75.35340196078096
S04_0004_Gait,LRP,-4.116558082717717,273.6257575810547
S04_0004_Gait,DP,37.17870393758596,142.7077343129171
S04_0012_Gait,ERP,10.879412289783009,75.35340196078096
S04_0012_Gait,LRP,-8.433134745278059,273.6257575810547
S04_0012_Gait,DP,35.17821055121427,142.7077343129171
S04_0018_Gait,ERP,14.059581491165336,75.35340196078096
S04_0018_Gait,LRP,4.205467922468806,273.6257575810547
S04_0018_Gait,DP,38.95512382538252,142.7077343129171
S04_0021_Gait,ERP,8.64462521667484,75.35340196078096
S04_0021_Gait,LRP,-10.459703667931095,273.6257575810547
S04_0021_Gait,DP,32.832792039757564,142.7077343129171
S05_0003_Gait,ERP,34.63622206237386,299.95957602458736
S05_0003_Gait,LRP,51.18512392411775,467.3732897398825
S05_0003_Gait,DP,77.8721339319076,248.96421411088247
S05_0004_Gait,ERP,32.39121971073517,299.95957602458736
S05_0004_Gait,LRP,33.069283545734656,467.3732897398825
S05_0004_Gait,DP,60.29504152861395,248.96421411088247
S05_0005_Gait,ERP,28.075561361815147,299.95957602458736
S05_0005_Gait,LRP,20.464522066894034,467.3732897398825
S05_0005_Gait,DP,61.79190073594262,248.96421411088247
S05_0008_Gait,ERP,27.78039169505374,299.95957602458736
S05_0008_Gait,LRP,33.18606876974835,467.3732897398825
S05_0008_Gait,DP,78.12196887379736,248.96421411088247
S05_0010_Gait,ERP,22.581606836041928,299.95957602458736
S05_0010_Gait,LRP,28.53203109893559,467.3732897398825
S05_0010_Gait,DP,87.0005895077327,248.96421411088247
S05_0018_Gait,ERP,31.868510014657,299.95957602458736
S05_0018_Gait,LRP,25.66415629082969,467.3732897398825
S05_0018_Gait,DP,69.89633692673027,248.96421411088247
S05_0020_Gait,ERP,28.331134960833374,299.95957602458736
S05_0020_Gait,LRP,34.957258847042915,467.3732897398825
S05_0020_Gait,DP,78.33659010051116,248.96421411088247
S05_0021_Gait,ERP,21.744492915330444,299.95957602458736
S05_0021_Gait,LRP,24.993937340455194,467.3732897398825
