Speed,QS phase,intercept,stiffness,MSE,R2
S01_0002_Gait,ERP,-12.486819975140264,424.5856408393444,157.62757374326978,0.8069677509538875
S01_0002_Gait,LRP,-11.908063400461259,617.956332520449,5.186516738005987,0.9835349754715744
S01_0002_Gait,DP,67.06840786157788,235.04845108668266,148.64554844559265,0.9410524389690637
S01_0003_Gait,ERP,9.174692667597128,519.9761519650901,178.15260163648443,0.8277958152927206
S01_0003_Gait,LRP,40.14201404853013,555.2196663106047,9.716639438077726,0.9553168687221867
S01_0003_Gait,DP,82.97622092936643,237.6918293920689,98.56070621194357,0.9581138775415073
S01_0004_Gait,ERP,4.057662983622464,253.7119790518074,41.19293418191581,0.9168236328598849
S01_0004_Gait,LRP,-5.59793765026005,518.4986439559761,12.55480009951714,0.9754187234714358
S01_0004_Gait,DP,50.57244376161284,238.9180415489607,387.2271117171818,0.8661363122446536
S01_0005_Gait,ERP,9.336219511479023,316.7265447478611,42.516146960998185,0.9404189730383281
S01_0005_Gait,LRP,-0.5888285698266884,615.481680874508,27.423708446828346,0.9285296283964908
S01_0005_Gait,DP,54.6986342748722,226.34909992949275,532.0541100799576,0.8055448221356067
S01_0008_Gait,ERP,-11.502695942564138,354.6419392333478,170.43066659436454,0.7658323743233477
S01_0008_Gait,LRP,0.9334811926007376,494.49428997333393,8.2479552835966,0.9779196797767169
S01_0008_Gait,DP,66.13510119005797,210.55329473550492,118.37813645139369,0.9504953906709795
S01_0010_Gait,ERP,15.25807990391488,348.59350751042797,293.2507881415115,0.5870975800694553
S01_0010_Gait,LRP,50.64070845386275,416.46496636816113,6.360214116099765,0.9797603020471256
S01_0010_Gait,DP,78.83114887390934,214.14911889726636,197.25724594147144,0.9207933376069056
S01_0011_Gait,ERP,-7.153261962102629,324.99161356943694,80.99765275476805,0.8409067500788491
S01_0011_Gait,LRP,12.9048359133306,431.7308959654677,5.476283192975515,0.9887180205486842
S01_0011_Gait,DP,62.08303308104642,212.38731176276747,193.71494722903842,0.9255429930444072
S01_0012_Gait,ERP,8.180924668904307,361.6489060447842,60.46383363410984,0.929717026318935
S01_0012_Gait,LRP,-3.750366960782074,709.9186439209626,19.92696655511501,0.9338406142378995
S01_0012_Gait,DP,65.37229462026772,253.3909779294304,251.3013358107709,0.9040898127952424
S01_0013_Gait,ERP,3.9098408282878907,310.75110562708954,24.05173167024817,0.9647243270048246
S01_0013_Gait,LRP,-10.202131448010135,623.1375055788552,62.27448827474831,0.8175317646303791
S01_0013_Gait,DP,48.49905196707427,237.16296439401174,447.6928266147446,0.8217921229394012
S01_0014_Gait,ERP,-0.3690120616699417,315.13319765107246,48.738033894857324,0.9439292244084404
S01_0014_Gait,LRP,-35.52604516287283,613.3292845347763,8.013415478342429,0.974044236057053
S01_0014_Gait,DP,50.277255207459454,231.89194398411712,298.379598969484,0.8901997774398296
S01_0015_Gait,ERP,6.531894953363214,298.9214012758827,8.786167183442442,0.9840864085624326
S01_0015_Gait,LRP,-3.4771295834547686,561.283180182367,33.60953084492376,0.927644989972115
S01_0015_Gait,DP,63.29042277038273,218.09215325862655,272.0451979273104,0.9000019257005295
S01_0016_Gait,ERP,3.6455485521734623,364.64348090990353,124.26378498317024,0.8212072835636703
S01_0016_Gait,LRP,18.355846596254203,490.8414165749498,5.839785720500049,0.9797801571831435
S01_0016_Gait,DP,65.67430103570787,200.43529839190697,202.30489310319854,0.9117030970687463
S01_0019_Gait,ERP,10.179394347604024,281.70627167492694,46.470051229063564,0.8941449297898957
S01_0019_Gait,LRP,16.110244259014223,478.4390722734449,8.123995867020897,0.9798734581898837
S01_0019_Gait,DP,57.37977560283555,177.30268078088562,613.254946182776,0.7732970504918284
S01_0020_Gait,ERP,1.8199618217544113,323.5741896203143,73.97898443151064,0.9047864368041845
S01_0020_Gait,LRP,-24.124517969483108,619.2143407307271,9.520767438282295,0.9776349807656783
S01_0020_Gait,DP,66.92385310949983,231.09391344800432,156.3733006910449,0.9445444930852149
S01_0021_Gait,ERP,0.9550719304690958,279.95761138264004,61.487342512251494,0.8843483525797239
S01_0021_Gait,LRP,-8.455661717905699,553.7971706709922,12.87321823282824,0.9649360992106495
S01_0021_Gait,DP,57.47411699523653,203.87231579428448,306.4940866841304,0.8779254208387596
S02_0002_Gait,ERP,3.259306083941711,112.01655071058886,1.417430535173909,0.9860069425531418
S02_0002_Gait,LRP,-56.66170836534737,399.43959496602145,12.125692610443902,0.9698608151140511
S02_0002_Gait,DP,27.595905835465828,174.33953302746858,48.489133435931045,0.9624930678876918
S02_0003_Gait,ERP,11.069357264437329,157.09139820999954,6.580335378200501,0.9765890251754088
S02_0003_Gait,LRP,-55.73777009580887,463.76109719766765,5.544789658469056,0.9423967996599604
S02_0003_Gait,DP,22.697421431264914,192.01609585116816,99.80987067707282,0.9167401883123526
S02_0004_Gait,ERP,14.618226349709897,145.32447626645273,8.168379361091425,0.9752732466274017
S02_0004_Gait,LRP,102.03474350778495,-211.95719191816593,78.22567030290465,0.07865835708597557
S02_0004_Gait,DP,37.90189951403711,189.25565634332568,67.7835102455397,0.9329474403891896
S02_0005_Gait,ERP,6.84347044023335,205.1666607384993,2.90330236211377,0.9918342740143252
S02_0005_Gait,LRP,-87.5051390108004,714.6521930405149,24.97726660899978,0.8395352663040954
S02_0005_Gait,DP,41.53274181599142,183.34151809306454,34.40984452562965,0.96953920320889
S02_0008_Gait,ERP,11.964125957483208,95.36561171091246,6.792973489557208,0.9342194493226085
S02_0008_Gait,LRP,-116.28329204524762,645.2605337109221,16.8614918591666,0.9276757827199196
S02_0008_Gait,DP,23.952331105761218,184.06720755900463,109.73776745728543,0.9085682050049131
S02_0009_Gait,ERP,11.809994905594321,147.42811968782283,5.041797467127867,0.9806097133007694
S02_0009_Gait,LRP,-55.34130260763262,462.8373058602652,3.8228399185333237,0.9719754461688999
S02_0009_Gait,DP,25.56533845489161,192.81030786510308,62.77464814369004,0.9474295880476348
S02_0010_Gait,ERP,5.50277049563696,105.17691833457363,5.881134757122421,0.9308135136241082
S02_0010_Gait,LRP,-42.96570432424784,357.74038754821424,1.2622808670885242,0.9965009990290682
S02_0010_Gait,DP,13.131037364677958,181.93217391800073,121.57384635009045,0.9105554322516674
S02_0011_Gait,ERP,12.35357579295678,86.0931704270887,6.928364982145872,0.9077289534036753
S02_0011_Gait,LRP,-42.07119066130783,437.6174214105264,1.6929943864640777,0.9952319353214099
