,point 0,point 1,point 2,point 3,point 4
S45_0023_Gait,5,22,48,67,85
S46_0002_Gait,5,32,48,65,83
S46_0003_Gait,5,28,49,66,83
S46_0004_Gait,5,29,47,66,84
S46_0005_Gait,5,31,49,68,84
S46_0006_Gait,5,26,48,67,84
S46_0007_Gait,5,29,48,66,83
S46_0008_Gait,5,22,48,66,84
S46_0009_Gait,5,27,48,66,84
S46_0010_Gait,5,26,47,65,84
S46_0011_Gait,5,27,48,66,84
S46_0012_Gait,5,26,46,64,82
S46_0013_Gait,5,28,49,66,83
S46_0014_Gait,5,26,47,66,85
S46_0015_Gait,0,20,46,66,83
S46_0016_Gait,5,26,49,66,84
S46_0017_Gait,5,24,47,66,85
S46_0018_Gait,5,28,48,66,83
S46_0019_Gait,5,31,47,65,86
S46_0020_Gait,5,25,47,65,82
S46_0021_Gait,6,26,48,67,86
S47_0002_Gait,8,29,48,65,83
S47_0003_Gait,10,31,50,66,84
S47_0004_Gait,10,31,49,66,83
S47_0005_Gait,8,27,48,66,84
S47_0006_Gait,10,29,49,66,84
S47_0007_Gait,8,26,48,65,83
S47_0008_Gait,9,27,48,66,84
S47_0009_Gait,10,34,50,67,85
S47_0010_Gait,10,30,50,66,83
S47_0011_Gait,9,31,49,66,83
S47_0012_Gait,11,27,50,66,85
S47_0013_Gait,9,25,47,66,84
S47_0014_Gait,9,26,47,66,85
S47_0015_Gait,9,31,49,66,85
S47_0016_Gait,9,31,49,65,82
S47_0017_Gait,10,32,49,66,85
S47_0018_Gait,9,26,49,65,83
S47_0019_Gait,11,28,49,66,84
S47_0020_Gait,8,24,48,66,83
S47_0021_Gait,8,25,48,65,84
S48_0002_Gait,6,22,48,67,86
S48_0003_Gait,7,28,48,66,86
S48_0004_Gait,7,26,48,66,87
S48_0005_Gait,6,28,47,66,87
S48_0006_Gait,6,25,46,65,86
S48_0007_Gait,6,23,48,66,86
S48_0008_Gait,5,28,46,66,85
S48_0009_Gait,8,29,49,66,86
S48_0010_Gait,5,28,46,65,86
S48_0011_Gait,6,28,47,65,83
S48_0012_Gait,7,28,47,66,87
S48_0013_Gait,6,22,47,66,87
S48_0014_Gait,6,26,45,66,85
S48_0015_Gait,7,31,50,68,88
S48_0016_Gait,7,24,47,66,87
S48_0017_Gait,7,27,46,65,85
S48_0019_Gait,7,29,48,67,88
S48_0020_Gait,5,29,46,65,86
S48_0021_Gait,7,24,46,66,87
S48_0022_Gait,6,30,46,64,84
S49_0002_Gait,5,28,49,66,86
S49_0003_Gait,8,27,48,66,85
S49_0004_Gait,5,29,51,67,88
S49_0005_Gait,5,25,49,66,87
S49_0006_Gait,8,24,47,66,86
S49_0007_Gait,7,25,48,66,87
S49_0008_Gait,5,28,49,66,86
S49_0009_Gait,7,26,47,66,86
S49_0010_Gait,10,27,48,67,86
S49_0011_Gait,5,28,49,66,87
S49_0013_Gait,5,28,48,65,88
S49_0014_Gait,5,25,48,66,87
S49_0015_Gait,5,27,50,66,88
S49_0016_Gait,9,31,48,67,89
S49_0017_Gait,5,29,49,66,88
S49_0018_Gait,5,29,50,67,88
S49_0019_Gait,5,26,47,65,86
S49_0020_Gait,5,26,50,67,87
S49_0021_Gait,8,28,48,66,88
S49_0022_Gait,7,31,49,67,89
S50_0002_Gait,5,26,46,66,86
S50_0003_Gait,5,30,47,66,86
S50_0004_Gait,5,25,47,66,84
S50_0005_Gait,5,26,47,64,86
S50_0006_Gait,5,26,46,65,85
S50_0007_Gait,7,29,48,66,82
S50_0008_Gait,5,21,45,65,86
S50_0009_Gait,6,23,44,64,87
S50_0011_Gait,6,22,45,65,84
S50_0012_Gait,5,28,44,64,84
S50_0014_Gait,5,27,48,66,86
S50_0015_Gait,6,26,45,64,85
S50_0016_Gait,5,22,46,65,85
S50_0017_Gait,5,27,45,64,85
S50_0018_Gait,5,28,47,64,84
S50_0019_Gait,5,29,46,65,85
S50_0020_Gait,5,26,45,65,85
S50_0021_Gait,5,29,47,65,84
S50_0022_Gait,6,27,45,64,84
S50_0023_Gait,5,25,47,65,84
S51_0002_Gait,6,23,46,66,84
S51_0003_Gait,6,22,47,65,83
S51_0004_Gait,7,23,47,66,83
S51_0005_Gait,7,23,48,66,83
S51_0006_Gait,6,23,48,65,83
S51_0008_Gait,7,23,47,65,83
S51_0009_Gait,8,24,48,66,84
S51_0010_Gait,8,24,48,66,83
S51_0011_Gait,9,32,48,66,84
S51_0012_Gait,7,23,48,66,84
S51_0013_Gait,8,28,49,66,83
S51_0014_Gait,7,24,47,66,82
S51_0015_Gait,8,24,48,66,84
S51_0016_Gait,7,23,47,66,84
S51_0017_Gait,7,30,48,65,84
S51_0018_Gait,8,25,47,66,84
S51_0019_Gait,8,30,47,65,83
S51_0020_Gait,8,27,47,65,82
S51_0022_Gait,8,25,49,67,84
S52_0002_Gait,6,28,47,66,86
S52_0003_Gait,5,32,49,66,86
S52_0004_Gait,5,31,49,67,85
S52_0005_Gait,5,31,49,67,84
S52_0006_Gait,5,31,48,67,88
S52_0007_Gait,5,27,49,67,86
S52_0008_Gait,5,28,49,67,86
S52_0009_Gait,5,32,49,67,85
S52_0010_Gait,5,29,49,67,85
S52_0011_Gait,5,29,49,67,86
S52_0012_Gait,5,28,48,66,85
S52_0013_Gait,5,30,49,67,85
S52_0014_Gait,5,35,51,67,87
S52_0015_Gait,5,30,49,67,87
S52_0016_Gait,5,31,49,66,85
S52_0017_Gait,5,29,49,66,87
S52_0018_Gait,5,29,51,68,85
S52_0020_Gait,5,31,49,67,85
S52_0021_Gait,5,29,48,67,86
S53_0002_Gait,7,23,48,66,88
S53_0003_Gait,7,32,49,67,89
S53_0004_Gait,7,23,48,66,86
S53_0005_Gait,6,22,48,67,88
S53_0006_Gait,5,30,47,66,87
S53_0007_Gait,8,33,50,67,89
S53_0008_Gait,7,24,48,67,89
S53_0009_Gait,6,22,47,67,88
S53_0010_Gait,6,22,48,67,86
S53_0011_Gait,8,24,49,69,87
S53_0012_Gait,6,23,47,67,88
S53_0013_Gait,6,22,48,67,87
S53_0014_Gait,6,22,47,66,87
S53_0015_Gait,7,23,50,68,89
S53_0017_Gait,5,21,47,67,87
S53_0018_Gait,5,21,48,67,89
S53_0019_Gait,7,23,48,67,87
S54_0002_Gait,11,34,50,67,83
S54_0003_Gait,10,26,49,66,84
S54_0005_Gait,9,25,49,67,84
S54_0007_Gait,9,26,49,67,83
S54_0008_Gait,9,25,50,67,85
S54_0009_Gait,9,25,49,67,84
S54_0010_Gait,9,26,49,66,82
S54_0012_Gait,10,26,49,66,83
S54_0013_Gait,9,25,50,67,83
S54_0014_Gait,10,26,50,67,84
S54_0015_Gait,9,25,49,66,83
S54_0016_Gait,9,25,48,66,82
S54_0017_Gait,9,25,49,66,83
S54_0018_Gait,10,26,50,67,83
S54_0019_Gait,8,24,48,66,83
S54_0020_Gait,10,26,50,67,83
S54_0021_Gait,11,31,48,66,82
S54_0022_Gait,10,26,49,67,83
S54_0023_Gait,9,26,48,66,83
S55_0002_Gait,7,23,48,67,84
S55_0003_Gait,8,24,50,67,84
S55_0005_Gait,5,21,48,66,83
S55_0006_Gait,8,24,49,67,84
S55_0007_Gait,6,25,47,66,84
S55_0008_Gait,5,22,47,66,82
S55_0010_Gait,5,23,48,67,84
S55_0011_Gait,8,26,49,67,84
S55_0012_Gait,6,23,48,66,83
S55_0013_Gait,7,23,48,66,82
S55_0014_Gait,6,23,48,66,83
S55_0015_Gait,8,24,50,67,83
S55_0016_Gait,5,22,47,65,83
S55_0018_Gait,5,22,47,66,84
S55_0019_Gait,6,24,48,66,83
S55_0020_Gait,5,21,47,66,83
S55_0021_Gait,7,23,47,66,84
S55_0022_Gait,5,22,48,66,83
S55_0023_Gait,6,23,48,67,84
S56_0002_Gait,7,29,48,67,84
S56_0003_Gait,7,28,49,67,84
S56_0004_Gait,8,31,49,68,84
S56_0005_Gait,6,22,47,67,84
S56_0006_Gait,9,27,50,67,83
S56_0007_Gait,9,32,50,67,83
S56_0008_Gait,7,24,47,67,83
S56_0009_Gait,9,29,50,67,83
S56_0010_Gait,6,23,49,68,84
S56_0011_Gait,7,23,48,68,84
S56_0012_Gait,9,26,48,67,83
S56_0013_Gait,8,24,50,67,83
S56_0014_Gait,7,24,48,67,85
S56_0015_Gait,8,24,49,68,84
S56_0016_Gait,7,24,49,67,83
S56_0017_Gait,7,24,48,67,83
S56_0018_Gait,7,23,48,67,83
S56_0019_Gait,8,24,49,65,81
S56_0020_Gait,6,22,48,66,82
S56_0021_Gait,8,27,49,68,84
S57_0002_Gait,9,30,50,67,84
S57_0003_Gait,8,25,48,67,84
S57_0004_Gait,8,24,49,68,85
S57_0005_Gait,9,25,49,67,84
S57_0006_Gait,7,24,51,68,84
S57_0007_Gait,9,26,49,66,83
S57_0008_Gait,9,25,49,67,83
S57_0009_Gait,8,25,48,67,84
S57_0010_Gait,9,26,49,68,84
S57_0011_Gait,9,28,50,67,84
S57_0012_Gait,8,30,50,67,84
S57_0013_Gait,7,23,47,67,84
S57_0014_Gait,8,24,48,66,84
S57_0015_Gait,7,23,47,67,84
S57_0016_Gait,7,23,46,66,83
S57_0017_Gait,8,24,47,66,83
S57_0018_Gait,8,25,47,66,84
S57_0019_Gait,7,24,47,67,85
S57_0020_Gait,7,24,47,67,85
S57_0021_Gait,7,25,47,66,84
