,point 0,point 1,point 2,point 3,point 4
S11_0002_Gait,8,26,48,68,86
S11_0004_Gait,7,27,47,69,87
S11_0006_Gait,10,30,48,68,87
S11_0008_Gait,7,25,47,68,86
S11_0009_Gait,8,24,47,67,85
S11_0013_Gait,7,23,47,68,86
S11_0015_Gait,7,25,48,67,87
S11_0017_Gait,8,24,47,68,86
S12_0003_Gait,7,32,48,65,86
S12_0004_Gait,7,29,47,64,83
S12_0005_Gait,8,28,47,64,94
S12_0008_Gait,7,29,45,64,86
S12_0012_Gait,6,26,45,64,85
S12_0013_Gait,8,26,48,65,84
S12_0014_Gait,8,29,46,64,86
S12_0015_Gait,7,27,46,65,84
S12_0016_Gait,5,25,47,65,86
S12_0018_Gait,8,26,47,64,85
S12_0019_Gait,8,31,47,64,83
S12_0021_Gait,8,30,46,64,84
S13_0004_Gait,9,26,49,67,86
S13_0005_Gait,9,27,48,65,84
S13_0006_Gait,8,24,48,66,85
S13_0007_Gait,9,25,46,66,85
S13_0008_Gait,8,24,46,66,83
S13_0009_Gait,9,25,47,66,84
S13_0010_Gait,8,26,48,66,85
S13_0013_Gait,9,27,47,66,84
S13_0014_Gait,9,25,48,66,84
S13_0016_Gait,10,27,49,67,84
S13_0017_Gait,9,25,48,66,84
S13_0018_Gait,10,26,49,67,84
S13_0019_Gait,9,25,48,66,83
S13_0021_Gait,8,24,48,66,84
S13_0022_Gait,9,32,49,66,84
S14_0002_Gait,10,27,47,65,89
S14_0003_Gait,9,27,50,67,88
S14_0005_Gait,10,29,46,66,86
S14_0007_Gait,10,27,49,66,84
S14_0008_Gait,10,29,49,66,87
S14_0009_Gait,5,21,45,65,86
S14_0010_Gait,11,29,47,65,85
S14_0011_Gait,10,27,48,66,87
S14_0012_Gait,10,28,45,65,85
S14_0014_Gait,10,26,47,66,94
S14_0015_Gait,11,30,48,66,86
S14_0017_Gait,11,28,46,65,86
S14_0018_Gait,9,25,48,65,86
S14_0019_Gait,10,26,49,66,87
S14_0020_Gait,11,28,47,66,88
S14_0021_Gait,10,26,46,65,85
S14_0022_Gait,10,30,47,65,89
S15_0002_Gait,8,30,49,67,87
S15_0003_Gait,9,29,49,66,87
S15_0004_Gait,8,28,47,66,87
S15_0005_Gait,9,28,48,66,86
S15_0006_Gait,9,28,49,66,85
S15_0007_Gait,10,31,48,66,85
S15_0008_Gait,9,27,48,66,86
S15_0010_Gait,8,31,47,66,86
S15_0011_Gait,8,31,47,66,87
S15_0012_Gait,8,26,47,66,85
S15_0013_Gait,9,31,48,67,86
S15_0014_Gait,9,27,48,66,85
S15_0015_Gait,9,29,48,67,86
S15_0016_Gait,8,25,47,66,86
S15_0018_Gait,9,32,50,67,87
S15_0021_Gait,8,25,48,67,86
S15_0022_Gait,9,29,48,68,88
S16_0002_Gait,6,24,47,65,84
S16_0003_Gait,9,28,48,66,86
S16_0005_Gait,6,26,46,65,85
S16_0007_Gait,5,31,48,65,85
S16_0009_Gait,6,28,46,64,83
S16_0011_Gait,10,27,47,65,85
S16_0013_Gait,10,28,48,65,85
S16_0017_Gait,5,28,47,65,86
S16_0019_Gait,6,30,47,65,86
S16_0021_Gait,11,29,48,65,86
S16_0022_Gait,7,29,49,66,85
S16_0023_Gait,11,27,48,65,85
S17_0006_Gait,6,24,47,67,84
S17_0009_Gait,8,25,50,67,85
S17_0011_Gait,8,25,49,68,86
S17_0016_Gait,9,26,48,67,85
S17_0018_Gait,6,26,48,68,85
S18_0003_Gait,5,21,48,66,85
S18_0005_Gait,7,33,49,67,86
S18_0009_Gait,8,33,50,67,83
S18_0010_Gait,7,33,49,66,85
S18_0011_Gait,5,23,48,66,85
S18_0012_Gait,5,32,48,66,85
S18_0013_Gait,7,33,49,66,83
S18_0014_Gait,7,34,50,66,84
S18_0017_Gait,6,32,49,66,86
S18_0018_Gait,6,31,47,65,83
S18_0019_Gait,8,27,49,65,85
S18_0020_Gait,5,25,47,66,86
S18_0021_Gait,7,33,49,66,83
S18_0022_Gait,5,25,47,66,87
S19_0002_Gait,9,25,49,65,82
S19_0003_Gait,0,10,26,50,80
S19_0004_Gait,8,25,48,64,80
S19_0008_Gait,0,10,26,50,80
S19_0009_Gait,0,9,32,51,82
S19_0011_Gait,9,27,49,65,82
S19_0013_Gait,9,25,48,64,80
S19_0018_Gait,8,25,48,66,82
S19_0019_Gait,9,25,49,65,81
S19_0021_Gait,8,26,50,66,83
S19_0025_Gait,11,29,51,67,83
S20_0004_Gait,8,28,46,64,84
S20_0005_Gait,7,28,46,64,82
S20_0008_Gait,9,27,46,63,82
S20_0009_Gait,8,25,44,63,81
S20_0010_Gait,10,27,45,64,84
S20_0011_Gait,9,29,46,64,83
S20_0015_Gait,9,28,45,64,84
S20_0016_Gait,8,30,46,64,85
S20_0018_Gait,10,28,46,64,82
S20_0021_Gait,6,28,45,63,83
S20_0022_Gait,10,30,46,63,83
S20_0023_Gait,8,29,45,63,83
S20_0024_Gait,9,28,46,64,81
S21_0002_Gait,8,26,47,65,85
S21_0004_Gait,7,25,47,66,87
S21_0005_Gait,7,28,46,65,86
S21_0006_Gait,8,27,48,66,84
S21_0007_Gait,9,28,48,66,85
S21_0009_Gait,7,25,47,67,85
S21_0010_Gait,7,27,47,66,85
S21_0011_Gait,8,25,46,65,84
S21_0012_Gait,6,25,46,66,84
S21_0013_Gait,9,28,48,66,84
S21_0014_Gait,9,26,49,66,87
S21_0015_Gait,9,28,49,66,87
S21_0016_Gait,7,26,46,66,87
S21_0017_Gait,8,27,48,66,84
S21_0018_Gait,8,25,47,66,86
S21_0021_Gait,8,24,47,66,87
S22_0002_Gait,5,25,47,65,85
S22_0003_Gait,7,25,47,66,86
S22_0004_Gait,10,26,47,66,84
S22_0005_Gait,5,22,49,66,86
S22_0006_Gait,6,22,49,66,85
S22_0007_Gait,7,25,46,66,85
S22_0009_Gait,5,21,49,66,84
S22_0010_Gait,5,26,48,66,85
S22_0012_Gait,5,24,47,65,84
S22_0014_Gait,5,24,48,65,84
S22_0018_Gait,7,25,47,66,87
S22_0022_Gait,6,26,47,65,83
S22_0023_Gait,8,24,47,65,85
S23_0002_Gait,5,27,48,65,84
S23_0005_Gait,5,26,47,65,86
S23_0009_Gait,5,26,48,65,85
S23_0010_Gait,5,27,46,64,84
S23_0011_Gait,5,24,45,64,83
S23_0013_Gait,5,28,47,64,84
S23_0018_Gait,6,24,45,64,85
S23_0020_Gait,5,26,47,64,84
S23_0021_Gait,5,29,48,65,88
S23_0022_Gait,5,26,47,64,86
S24_0004_Gait,7,31,48,64,82
S24_0010_Gait,7,32,48,65,84
S24_0013_Gait,5,30,48,65,85
S24_0014_Gait,7,32,48,65,82
S24_0017_Gait,7,32,49,66,84
S24_0018_Gait,8,32,50,66,87
S24_0020_Gait,6,28,47,66,85
S24_0021_Gait,6,30,49,65,84
S24_0022_Gait,8,31,49,68,87
S24_0023_Gait,8,32,49,66,85
S24_0024_Gait,9,33,50,66,84
S25_0002_Gait,7,23,47,66,85
S25_0003_Gait,5,22,47,66,84
S25_0006_Gait,7,23,48,66,85
S25_0008_Gait,6,23,46,66,88
S25_0009_Gait,6,22,47,67,86
S25_0010_Gait,5,22,48,66,86
S25_0013_Gait,5,22,49,67,86
S25_0015_Gait,7,23,47,66,86
S25_0017_Gait,5,23,48,66,87
S25_0018_Gait,5,21,46,66,85
S25_0021_Gait,6,22,47,66,87
S25_0022_Gait,6,22,47,66,85
S25_0024_Gait,5,23,48,66,86
S26_0002_Gait,8,26,48,65,83
S26_0003_Gait,9,28,48,65,82
S26_0006_Gait,8,27,47,65,83
S26_0008_Gait,9,29,48,67,85
S26_0009_Gait,9,28,48,65,83
S26_0010_Gait,7,26,47,67,86
S26_0011_Gait,8,29,46,67,85
S26_0012_Gait,7,28,46,64,82
S26_0013_Gait,9,31,47,65,83
S26_0019_Gait,7,29,46,64,82
S26_0022_Gait,8,24,46,65,83
S26_0023_Gait,7,30,46,65,83
S27_0002_Gait,9,25,48,66,83
S27_0003_Gait,7,23,47,64,81
S27_0004_Gait,9,25,48,65,83
S27_0011_Gait,9,26,50,66,82
S27_0013_Gait,8,24,49,66,85
S27_0014_Gait,9,25,49,66,82
S27_0016_Gait,6,23,46,66,83
S27_0017_Gait,7,25,47,65,83
S27_0020_Gait,8,25,48,66,85
S27_0021_Gait,9,26,49,66,83
S27_0022_Gait,7,26,47,65,84
S27_0023_Gait,9,25,50,66,83
S28_0002_Gait,8,30,46,66,84
S28_0003_Gait,9,29,46,66,84
S28_0005_Gait,9,31,48,65,84
S28_0008_Gait,11,31,47,66,84
S28_0010_Gait,8,30,47,65,83
S28_0011_Gait,8,26,45,66,85
S28_0012_Gait,9,31,47,65,83
S28_0013_Gait,10,32,48,66,85
S28_0014_Gait,8,27,47,65,82
S28_0015_Gait,8,28,47,65,84
S28_0016_Gait,8,27,47,66,86
S28_0017_Gait,11,28,48,66,82
S28_0020_Gait,6,25,45,65,83
S28_0021_Gait,11,32,48,66,84
S28_0022_Gait,9,30,47,67,84
S29_0002_Gait,7,23,47,67,86
S29_0004_Gait,7,24,47,67,86
S29_0008_Gait,8,25,49,68,87
S29_0010_Gait,6,24,48,67,87
S29_0011_Gait,7,28,47,67,85
S29_0012_Gait,6,28,47,67,86
S29_0013_Gait,9,26,49,67,85
S29_0014_Gait,8,24,47,67,88
S29_0015_Gait,7,25,47,67,85
S29_0016_Gait,8,28,48,66,86
S29_0017_Gait,8,24,46,66,93
S29_0018_Gait,8,24,47,67,86
S29_0019_Gait,7,24,47,67,87
S29_0020_Gait,8,25,46,66,94
S29_0021_Gait,7,29,49,67,86
S30_0002_Gait,6,26,49,66,84
S30_0003_Gait,6,25,49,66,85
S30_0005_Gait,8,35,51,67,84
S30_0006_Gait,6,26,50,66,85
S30_0007_Gait,8,27,50,66,86
S30_0008_Gait,7,23,48,65,81
S30_0009_Gait,5,22,48,66,84
S30_0010_Gait,0,5,34,65,84
S30_0011_Gait,7,26,50,66,86
S30_0012_Gait,8,34,50,66,86
S30_0013_Gait,7,25,49,66,84
S30_0014_Gait,6,25,49,66,84
S30_0016_Gait,7,23,48,66,86
S30_0017_Gait,5,25,48,66,86
S30_0018_Gait,7,27,51,69,86
S30_0019_Gait,6,24,49,65,88
S31_0002_Gait,10,30,47,65,81
S31_0003_Gait,8,29,46,64,91
S31_0005_Gait,9,31,47,65,83
S31_0008_Gait,7,28,47,65,86
S31_0009_Gait,8,29,47,65,88
S31_0010_Gait,8,29,46,64,86
S31_0011_Gait,7,29,47,65,83
S31_0012_Gait,7,30,46,64,89
S31_0013_Gait,7,30,47,65,83
S31_0014_Gait,7,28,45,65,83
S31_0015_Gait,6,28,46,65,85
S31_0016_Gait,10,31,47,65,86
S31_0017_Gait,7,30,48,65,90
S31_0018_Gait,8,30,47,65,84
S31_0019_Gait,8,30,47,66,82
S31_0020_Gait,8,30,48,65,89
S31_0021_Gait,9,26,46,65,84
S32_0002_Gait,7,29,49,65,84
S32_0003_Gait,9,29,49,66,86
S32_0004_Gait,9,32,50,66,83
S32_0005_Gait,7,26,47,65,82
S32_0006_Gait,9,33,49,66,83
S32_0007_Gait,8,29,48,65,82
S32_0008_Gait,8,32,49,66,86
S32_0009_Gait,8,30,50,68,84
S32_0010_Gait,8,30,49,65,83
S32_0011_Gait,8,28,48,66,86
S32_0012_Gait,9,30,49,66,83
S32_0013_Gait,8,29,48,65,86
S32_0014_Gait,8,30,49,66,86
S32_0015_Gait,10,29,51,67,85
S32_0016_Gait,8,29,49,66,84
S32_0017_Gait,5,29,48,66,86
S32_0018_Gait,7,29,49,66,94
S32_0019_Gait,8,30,50,66,88
S32_0020_Gait,8,29,50,66,82
S32_0021_Gait,8,29,48,65,82
S33_0002_Gait,9,25,47,65,82
S33_0003_Gait,9,25,48,65,86
S33_0004_Gait,11,30,49,66,83
S33_0005_Gait,10,26,49,66,92
S33_0006_Gait,10,26,49,66,82
S33_0007_Gait,8,24,48,66,82
S33_0008_Gait,9,25,48,65,88
S33_0010_Gait,7,23,47,65,82
S33_0011_Gait,9,28,48,65,85
S33_0013_Gait,9,25,48,66,83
S33_0014_Gait,10,26,49,66,87
S33_0017_Gait,12,28,47,65,82
S33_0018_Gait,10,26,49,65,82
S33_0019_Gait,10,27,49,65,83
S33_0020_Gait,7,23,48,66,84
S33_0021_Gait,8,24,47,65,81
S33_0022_Gait,11,28,47,65,88
S33_0023_Gait,11,28,48,66,90
S33_0025_Gait,8,26,47,66,92
S34_0002_Gait,6,26,47,66,82
S34_0004_Gait,7,27,48,65,84
S34_0005_Gait,7,23,45,64,85
S34_0007_Gait,7,31,48,65,82
S34_0009_Gait,5,23,47,65,85
S34_0010_Gait,6,23,47,65,85
S34_0011_Gait,6,27,46,64,83
S34_0012_Gait,6,24,45,66,85
S34_0013_Gait,7,25,46,65,83
S34_0014_Gait,7,29,48,66,85
S34_0015_Gait,8,25,47,65,94
