,,point 0,point 1,point 2,point 3,point 4
0.127,-1sd,0,134,494,776,939
0.127,mean,0,146,492,782,939
0.127,+1sd,0,152,490,788,939
0.159,-1sd,0,165,496,695,852
0.159,mean,0,163,494,690,841
0.159,+1sd,0,4,161,491,834
0.19,-1sd,0,1,105,500,766
0.19,mean,0,101,497,701,832
0.19,+1sd,0,101,497,701,832
0.222,-1sd,0,132,308,485,782
0.222,mean,0,128,304,486,781
0.222,+1sd,0,124,300,486,779
