,,point 0,point 1,point 2,point 3,point 4,point 5
0.182,-1sd,0,71,244,457,623,872
0.182,mean,0,72,242,457,714,870
0.182,+1sd,0,72,243,450,626,867
0.243,-1sd,0,70,335,563,714,871
0.243,mean,0,72,335,560,711,870
0.243,+1sd,0,74,335,557,708,868
0.304,-1sd,0,76,322,548,697,875
0.304,mean,0,78,317,549,695,940
0.304,+1sd,0,79,339,550,692,874
0.365,-1sd,0,73,351,521,680,895
0.365,mean,0,75,350,520,678,896
0.365,+1sd,0,75,349,520,676,897
0.425,-1sd,0,69,218,344,493,661
0.425,mean,0,71,216,493,660,897
0.425,+1sd,0,73,214,340,492,658
