,,point 0,point 1,point 2,point 3,point 4,point 5
0.124,-1sd,0,89,295,469,622,816
0.124,mean,0,90,298,627,816,934
0.124,+1sd,0,93,302,480,632,817
0.155,-1sd,0,89,286,531,632,794
0.155,mean,0,90,294,529,795,934
0.155,+1sd,0,92,297,457,629,796
0.186,-1sd,0,88,425,624,777,945
0.186,mean,0,90,350,622,777,945
0.186,+1sd,0,92,350,619,778,942
0.217,-1sd,0,99,391,612,769,937
0.217,mean,0,103,343,609,768,934
0.217,+1sd,0,106,342,605,768,934
0.248,-1sd,0,98,235,363,593,751
0.248,mean,0,101,241,590,751,930
0.248,+1sd,0,103,249,375,587,752
