,,,,intercept,stiffness,MSE,R2,inverted
TF06,ipsilateral,0.225,CP,0.006465676402761855,2.426897536714661,2.2498899446812617e-05,0.9859762573246871,False
TF06,ipsilateral,0.225,ERP,0.09639033857766466,3.5674251822296683,0.00036246781095092766,0.9955713808809324,False
TF06,ipsilateral,0.225,LRP,-0.15606952454207404,4.369685219994169,0.00044307349050444104,0.9914547189950578,False
TF06,contralateral,0.129,CP,-0.035301736501815326,0.2550652012751515,1.094193039721221e-05,0.5459811039557602,False
TF06,contralateral,0.129,ERP,0.09384150845996013,3.5383068870979972,1.9771636307266644e-05,0.9982417540153675,False
TF06,contralateral,0.129,LRP,-0.01718079036865172,5.003126965346113,7.243382684250263e-05,0.99816246823774,False
TF06,contralateral,0.129,DP,0.20500596585590927,3.482255763917335,0.007215859828052325,0.9459664214159775,False
TF06,contralateral,0.161,CP,-0.011483430901486187,0.9162644345983144,4.396661270751142e-06,0.9894436477455437,False
TF06,contralateral,0.161,ERP,0.08386740894123423,2.280829628432225,2.1629394399573387e-05,0.9949232438577302,False
TF06,contralateral,0.161,LRP,-0.008182097458909632,4.504157626043073,0.00016875183360909698,0.9975062953842417,False
TF06,contralateral,0.161,DP,0.22875150214020834,2.921556555871789,0.011848140268140985,0.916239424395551,False
TF06,contralateral,0.193,CP,-0.019783300100954256,0.7349435224891644,7.635981394945763e-06,0.9808604192403817,False
TF06,contralateral,0.193,ERP,0.1034595616186236,2.0804751636559358,1.4593548524811094e-05,0.9964273668201106,False
TF06,contralateral,0.193,LRP,0.014068879175981541,5.314031117691612,0.00015894930737667985,0.998250138419112,False
TF06,contralateral,0.193,DP,0.3749132526808041,3.0020891190347436,0.012501665206553629,0.9286698279374186,False
TF06,contralateral,0.225,CP,-0.047468337793874514,0.5332469459452592,6.457434277379312e-05,0.8675132388103791,False
TF06,contralateral,0.225,ERP,0.12264047091193163,1.6020285870771538,4.966887150947056e-05,0.9874885009520772,False
TF06,contralateral,0.225,LRP,0.07628852588561108,4.597927379291204,0.0002612437849942489,0.9972145097494949,False
TF06,contralateral,0.225,DP,0.3405661291631231,2.899635802736586,0.014074052113742932,0.9156482649482002,False
TF06,contralateral,0.258,CP,-0.08124311082691396,0.31759102132820016,0.00010850836616845736,0.5924579217396542,False
TF06,contralateral,0.258,ERP,0.1171320466701932,1.5892884608781381,6.838686453839429e-05,0.984972641475964,False
TF06,contralateral,0.258,LRP,0.04078805408314157,4.825534187562384,0.000605411735681387,0.9940280039638274,False
TF06,contralateral,0.258,DP,0.39963220070136785,2.8605711456397014,0.013470229714982395,0.928987082330594,False
TF07,ipsilateral,0.182,CP,-0.03961900688478526,-0.811793230889566,0.0002245809062451036,0.39148990229071357,False
TF07,ipsilateral,0.182,ERP,0.46926141862381077,6.938790533133738,0.003394577231995518,0.9771312003448993,False
TF07,ipsilateral,0.182,LRP,-0.18446119752794266,11.255554268151187,0.0018572761458053124,0.9926809009093691,False
TF07,ipsilateral,0.243,CP,-0.06301740031940109,-1.0237770377723796,9.170853486031538e-05,0.7548744004187354,False
TF07,ipsilateral,0.243,ERP,0.48181325602347164,7.033885874569759,0.0034535578018213245,0.9826694653320085,False
TF07,ipsilateral,0.243,LRP,-0.1865477180584756,11.170816426416348,0.0012855585716849787,0.9957230317348434,False
TF07,ipsilateral,0.304,CP,-0.0634372834141716,-1.2005070289569864,0.00020038941092492403,0.6148765460830482,False
TF07,ipsilateral,0.304,ERP,0.43570856078133985,6.730260154962431,0.0028488275221452805,0.9847470957673801,False
TF07,ipsilateral,0.304,LRP,-0.3230979131874695,11.7381909496838,0.0011988445167209249,0.9970946886053244,False
TF07,ipsilateral,0.365,CP,-0.10737398478121166,-1.8174004439121219,0.0002913240033238177,0.717083686394637,False
TF07,ipsilateral,0.365,ERP,0.332086621264667,6.799051440745759,0.0035267139867983482,0.9875700124178557,False
TF07,ipsilateral,0.365,LRP,-0.4175989104933745,10.906670416899502,0.00021679850388280048,0.9994566287702628,False
TF07,ipsilateral,0.425,CP,-0.13550697488796531,-1.9867063440904251,0.0006512457238334096,0.6653073210573592,False
TF07,ipsilateral,0.425,ERP,0.3130813339609069,6.1057040584307,0.007925262469384249,0.964625753904634,False
TF07,ipsilateral,0.425,LRP,-0.5083056233021328,11.162284249627229,0.0008326892281603327,0.9981734034008145,False
TF07,contralateral,0.182,CP,0.03161757095804747,0.25638384137573506,6.693087377042685e-05,0.7448174197288202,False
TF07,contralateral,0.182,ERP,1.125432031347636,7.238176173905876,0.0008238360455450194,0.9885032469413151,False
TF07,contralateral,0.182,LRP,1.0306107126868502,4.321577497313688,1.696945236051153e-05,0.9990210852039368,False
TF07,contralateral,0.182,DP,0.6005737132907084,5.339110976502351,0.08041716120419952,0.4434098454304246,False
TF07,contralateral,0.243,CP,-0.005951857121208359,-0.10508488448574706,2.911762181933953e-05,0.4750045310266551,False
TF07,contralateral,0.243,ERP,1.1158700027498987,7.837294797284663,0.0009023671579711105,0.9935886454336945,False
TF07,contralateral,0.243,LRP,1.1857652581809135,2.6239961657975104,0.0006594516528233312,0.9097243180030131,False
TF07,contralateral,0.243,DP,0.723099695212296,3.8637303202586812,0.013209866428320716,0.9430583721329563,False
TF07,contralateral,0.304,CP,0.023566151096980667,0.12387676850368752,9.984225261373836e-05,0.33445974681474533,False
TF07,contralateral,0.304,ERP,1.3837180328808452,7.8708958550665535,0.000540969397936882,0.9960584467226904,False
TF07,contralateral,0.304,LRP,1.2743247338991328,3.387575047027066,3.133705482953622e-05,0.997002132414385,False
TF07,contralateral,0.304,DP,1.1078585082462606,3.6715808502899727,0.005933888913614095,0.9792928759253092,False
TF07,contralateral,0.365,CP,-0.01374115023506994,-0.15896114055986552,0.00010831591987693121,0.3745901659698472,False
TF07,contralateral,0.365,ERP,1.362026111530847,9.014302633251,0.005993560519511391,0.9552921184556534,False
TF07,contralateral,0.365,LRP,1.437381303107217,7.886237172619688,0.00043988467249466594,0.987027072279404,False
TF07,contralateral,0.365,DP,1.5718646359511705,3.7966464013619428,0.003731505108062653,0.9905369309195451,False
TF07,contralateral,0.425,CP,-0.13666127864821942,-1.050221761682767,0.0010910720653024401,0.6628813919892066,False
TF07,contralateral,0.425,ERP,1.1395429336399738,7.896140786489395,0.001232447940983857,0.9879751397962078,False
TF07,contralateral,0.425,LRP,1.4425221459365933,12.180612386410184,0.0054561762190779755,0.8848504903995787,False
TF07,contralateral,0.425,DP,1.8189909609856905,4.088754240398548,0.0015280984810935386,0.9966177548175679,False
TF08,ipsilateral,0.185,CP,-0.01416518169118295,0.732142202776879,3.929262125839886e-06,0.9822854274395367,False
TF08,ipsilateral,0.185,ERP,0.2749746759290356,4.3904060944269565,0.0015481835243435435,0.9923473208682961,False
TF08,ipsilateral,0.185,LRP,-0.1131911214018646,5.26560469630513,0.0003602521839279196,0.9984595240755978,False
TF08,ipsilateral,0.247,CP,-0.02606202826297245,0.6678478380004683,8.627367189779596e-06,0.9671931986224327,False
TF08,ipsilateral,0.247,ERP,0.2832626456110476,4.1722299144213695,0.0009683696785491168,0.9958778336713157,False
TF08,ipsilateral,0.247,LRP,-0.15091981627799883,5.29545550226269,0.00022214250522906446,0.9992282548477673,False
TF08,ipsilateral,0.309,CP,-0.024455074564491697,0.568281621845781,3.654558086656304e-05,0.8571714109694829,False
TF08,ipsilateral,0.309,ERP,0.3038446649076618,4.101627452187642,0.0005276508798082783,0.9979795170748716,False
TF08,ipsilateral,0.309,LRP,-0.16558513847551692,5.301263381467672,0.00038740585879980445,0.9987972308952839,False
TF08,ipsilateral,0.371,CP,-0.06109495903552559,0.3193117436661081,0.00023225695362660958,0.24596276385736893,False
TF08,ipsilateral,0.371,ERP,0.3114845099332673,3.9915973587931446,0.0001703879053395453,0.9993970580118481,False
TF08,ipsilateral,0.371,LRP,-0.1656979546149604,5.225438489621229,0.00037511553451085737,0.9989460021723383,False
TF08,ipsilateral,0.432,CP,-0.08155424926849074,0.07503632044647324,0.0005480632088459024,0.007604051664749645,False
TF08,ipsilateral,0.432,ERP,0.31932224933497777,3.9405669244843917,0.000286505846471614,0.9990222979530428,False
TF08,ipsilateral,0.432,LRP,-0.1764235837084891,5.299084515823458,0.00039983429995136996,0.9989738036410438,False
TF08,contralateral,0.185,CP,0.012859499950518351,0.5336061840097915,1.9185359427328365e-05,0.953721593877407,False
TF08,contralateral,0.185,ERP,0.4735124759326845,5.231311174356119,0.0014389454772244553,0.9885148837652336,False
TF08,contralateral,0.185,LRP,0.30225344188326064,7.3338271084553535,0.00045445744448690845,0.9725718094891614,False
TF08,contralateral,0.185,DP,0.6800523960402814,2.819806375785563,0.022715048569974805,0.8977704995935543,False
TF08,contralateral,0.247,CP,0.0207527088900094,0.6764265481942552,6.005031148890575e-05,0.9536911797283646,False
TF08,contralateral,0.247,ERP,0.7324355781640752,5.109969963427597,0.0007263444916420686,0.99494915569301,False
TF08,contralateral,0.247,LRP,0.44740025267477923,8.330835601018544,2.1990963197858137e-05,0.9988921427837483,False
TF08,contralateral,0.247,DP,0.8621536923790829,3.3430838498463094,0.01678186477663067,0.9418637944325908,False
TF08,contralateral,0.309,CP,0.029572518699888296,0.6425974605821851,8.039832425776823e-05,0.9344509017691451,False
TF08,contralateral,0.309,ERP,0.7854681150879658,5.115694380862737,0.0005757747879973244,0.996124872446571,False
TF08,contralateral,0.309,LRP,0.010628677228998615,0.06132634628848502,3.024748764732249e-06,0.9643380794285932,True
TF08,contralateral,0.309,DP,1.1493621985048437,3.5857139559421984,0.010310191949075613,0.9727698061360773,False
TF08,contralateral,0.371,CP,0.02086693850236302,0.7017233907059274,0.00027974786435996913,0.8403806380471701,False
TF08,contralateral,0.371,ERP,0.8758502581738353,5.047546458331287,0.0016657910127622513,0.9867101459560804,False
TF08,contralateral,0.371,LRP,0.011330084649365663,0.04513704049250712,3.084494771872505e-06,0.9529984791756344,True
TF08,contralateral,0.371,DP,1.4930749447929128,3.5828979278901576,0.006265041066802317,0.9869537259529221,False
TF08,contralateral,0.432,CP,-0.021623622742944264,0.45662691980262493,0.0007938806620753131,0.558853058115206,False
TF08,contralateral,0.432,ERP,1.0043453576862038,3.992160201585598,0.005777596778007996,0.9369810529501263,False
TF08,contralateral,0.432,LRP,0.5135380697727631,20.639700852593283,0.0047990577472052515,0.9308098339675608,False
TF08,contralateral,0.432,DP,1.679713627339177,3.8342441044332136,0.004519334601662441,0.9914770029759059,False
TF09,ipsilateral,0.129,CP,-0.030880118907352837,1.1481435365973416,3.2315971703187413e-06,0.9834843560262746,False
TF09,ipsilateral,0.129,ERP,0.13847681430268177,5.548190423108474,0.00069830852738713,0.9961221679474491,False
TF09,ipsilateral,0.129,LRP,-0.12053973576904714,6.258326780104053,0.0007950289935722737,0.995829601669254,False
TF09,ipsilateral,0.161,CP,-0.027663644725241937,1.303222782643968,3.540496647064605e-06,0.9883539569150768,False
TF09,ipsilateral,0.161,ERP,0.16562089327381913,5.318654666842401,0.0006802685218632032,0.9964953382019716,False
TF09,ipsilateral,0.161,LRP,-0.12890894541530568,6.190693688990302,0.0007999987186906168,0.9962488194426945,False
TF09,ipsilateral,0.193,CP,-0.03483448178990227,1.4090291646419149,3.0379634043566286e-06,0.9932950721683496,False
TF09,ipsilateral,0.193,ERP,0.18519186998022147,5.1214727894729695,0.0009941005761469961,0.9952532403760462,False
TF09,ipsilateral,0.193,LRP,-0.15280930564389406,6.191610151548375,0.0005260123480846044,0.9974893884349358,False
TF09,ipsilateral,0.225,CP,-0.03809191395926246,1.3770698993924695,6.210599951815863e-06,0.9887811609892908,False
TF09,ipsilateral,0.225,ERP,0.19164134195805843,4.875928582923679,0.0008133404991918594,0.9961604808483069,False
TF09,ipsilateral,0.225,LRP,-0.21016549619502745,6.325410761395715,0.0004345621254028167,0.9979189901794905,False
TF09,ipsilateral,0.258,CP,-0.055018894717021434,1.0488022294383337,1.266762828761044e-05,0.9668383645716984,False
TF09,ipsilateral,0.258,ERP,0.19525211633293693,4.752053383116229,0.0006047803752931183,0.9975122484398942,False
TF09,ipsilateral,0.258,LRP,-0.21786280609584202,5.876366047013855,0.0002686782404497071,0.99868843954275,False
TF09,contralateral,0.129,CP,-0.028960401510611043,1.0416285057419281,5.019001873806055e-05,0.9436816452775442,False
TF09,contralateral,0.129,ERP,0.6636124734537523,9.220376658873636,0.0007998307300075148,0.9826412484609237,False
TF09,contralateral,0.129,LRP,0.6560608012514892,3.40940360340973,2.859983355102052e-05,0.9956657859213175,False
TF09,contralateral,0.129,DP,0.7477465529168766,1.8005635845456867,0.019891322322417682,0.8373408951251653,False
TF09,contralateral,0.161,CP,-0.008456292966322568,1.5356919455096611,1.4562735316969835e-05,0.9922427336127265,False
TF09,contralateral,0.161,ERP,0.3128992072179897,5.4716468999606,0.00015641473397305379,0.9941682841784347,False
TF09,contralateral,0.161,LRP,0.3501939503487777,4.480749295983836,9.356366110025922e-05,0.9911730821192749,False
TF09,contralateral,0.161,DP,0.741058082440801,1.786655055411279,0.02165682451732789,0.8414400639787569,False
TF09,contralateral,0.193,CP,-0.04586951210936252,1.373523528353668,8.223971086197829e-05,0.9563102727500804,False
TF09,contralateral,0.193,ERP,0.39631826104071427,5.9508250360127946,0.00037613522555420925,0.9896388885570521,False
TF09,contralateral,0.193,LRP,0.3850270036346194,6.2760551798421655,0.0006667904489791302,0.9918912693324083,False
TF09,contralateral,0.193,DP,0.8169818704201971,1.8191673235338366,0.01939878733760637,0.906866227223999,False
TF09,contralateral,0.225,CP,-0.053604448855207085,1.1170073649238343,0.00010270971351638424,0.9487488530461132,False
TF09,contralateral,0.225,ERP,0.5162226963302604,5.417579753009704,0.00011374421740764648,0.9967394128878883,False
TF09,contralateral,0.225,LRP,0.4463271532630452,5.837206315386165,0.0023637287395557893,0.973764442737727,False
TF09,contralateral,0.225,DP,0.9383504380823164,2.074307137460041,0.01230421940267042,0.9518892115165263,False
TF09,contralateral,0.258,CP,-0.08122448992530869,0.9201740998798653,0.0005337479125091104,0.8192064118388345,False
TF09,contralateral,0.258,ERP,0.7734867238958936,5.42739768193071,0.0001262029882431388,0.99726679235168,False
TF09,contralateral,0.258,LRP,0.7301545069721417,5.994098769761186,0.0025554497791143425,0.9676976138127453,False
TF09,contralateral,0.258,DP,1.1889215408863465,2.260158043605083,0.009035073512080497,0.9706183491088614,False
TF10,ipsilateral,0.131,CP,-0.014745281388788105,1.4900275818269975,6.203145247067051e-05,0.8905984685839817,False
TF10,ipsilateral,0.131,ERP,0.24020950142578631,5.0883019143010175,0.0006679020003081212,0.9950563158244845,False
TF10,ipsilateral,0.131,LRP,-0.16150506292844752,6.433989589987452,0.0037832703553384826,0.9682746579338213,False
TF10,ipsilateral,0.163,CP,-0.024559604454550528,0.9898879837449818,0.00020130769842026345,0.5551873837560711,False
TF10,ipsilateral,0.163,ERP,0.2521162574005597,4.690807591718274,0.0001490535146819871,0.9989089241222033,False
TF10,ipsilateral,0.163,LRP,-0.16135048856066825,5.945666434860452,0.003341870234776693,0.9756355684136492,False
TF10,ipsilateral,0.196,CP,-0.06795278170297829,0.40673614045429557,0.0002244925139417863,0.15019193960374522,False
TF10,ipsilateral,0.196,ERP,0.22804751550714872,4.683678236756813,0.0001028699641272352,0.9992499581614069,False
TF10,ipsilateral,0.196,LRP,-0.2184510604063858,6.254958812514154,0.0034431807361947333,0.9737565721450772,False
TF10,ipsilateral,0.229,CP,-0.07848686554864953,0.624697289565775,7.729801973892191e-05,0.6194646039422333,False
TF10,ipsilateral,0.229,ERP,0.23927291916305907,4.427321994921321,0.00011539703116063635,0.9992131124897955,False
