,,point 0,point 1,point 2,point 3,point 4,point 5
0.189,-1sd,0,60,334,596,745,879
0.189,mean,0,60,331,596,742,938
0.189,+1sd,0,60,328,597,738,935
0.252,-1sd,0,67,347,575,723,877
0.252,mean,0,68,355,576,722,861
0.252,+1sd,0,70,385,579,721,852
0.315,-1sd,0,69,334,539,694,862
0.315,mean,0,70,334,540,692,861
0.315,+1sd,0,71,334,542,689,861
0.378,-1sd,0,72,316,500,676,865
0.378,mean,0,72,316,506,682,861
0.378,+1sd,0,72,325,509,685,861
0.441,-1sd,0,72,271,372,484,669
0.441,mean,0,72,274,380,486,672
0.441,+1sd,0,72,275,386,488,674
