,,point 0,point 1,point 2,point 3,point 4
0.128,-1sd,0,87,731,834,937
0.128,mean,0,84,500,782,943
0.128,+1sd,0,81,738,841,945
0.16,-1sd,0,75,500,712,932
0.16,mean,0,75,500,771,934
0.16,+1sd,0,75,500,772,936
0.192,-1sd,0,65,505,720,929
0.192,mean,0,63,505,717,927
0.192,+1sd,0,62,506,714,926
0.223,-1sd,0,56,499,690,920
0.223,mean,0,56,500,776,920
0.223,+1sd,0,55,501,771,920
0.255,-1sd,0,63,682,790,927
0.255,mean,0,63,488,759,927
0.255,+1sd,0,62,488,756,863
