,,point 0,point 1,point 2,point 3,point 4
0.194,-1sd,0,105,664,765,932
0.194,mean,0,107,465,764,921
0.194,+1sd,0,108,465,667,815
0.259,-1sd,0,107,654,768,936
0.259,mean,0,107,659,825,935
0.259,+1sd,0,107,662,826,933
0.324,-1sd,0,98,634,748,930
0.324,mean,0,98,636,750,930
0.324,+1sd,0,98,637,754,931
0.389,-1sd,0,88,625,757,922
0.389,mean,0,89,626,756,923
0.389,+1sd,0,90,626,754,924
0.454,-1sd,0,79,614,729,924
0.454,mean,0,80,614,728,925
0.454,+1sd,0,81,614,726,925
