,,point 0,point 1,point 2,point 3,point 4,point 5
0.184,-1sd,0,51,152,283,584,734
0.184,mean,0,51,283,586,732,930
0.184,+1sd,0,50,162,283,590,730
0.245,-1sd,0,53,219,387,567,877
0.245,mean,0,53,364,566,881,930
0.245,+1sd,0,54,208,552,703,881
0.306,-1sd,0,51,227,547,723,941
0.306,mean,0,51,227,547,723,941
0.306,+1sd,0,52,229,547,735,941
0.368,-1sd,0,49,202,522,678,939
0.368,mean,0,49,207,521,676,939
0.368,+1sd,0,49,207,520,675,939
0.429,-1sd,0,53,236,487,658,932
0.429,mean,0,53,236,487,657,932
0.429,+1sd,0,52,236,486,657,932
