,,point 0,point 1,point 2,point 3,point 4,point 5
0.129,-1sd,0,42,242,406,573,810
0.129,mean,0,42,233,441,806,930
0.129,+1sd,0,43,166,444,572,804
0.161,-1sd,0,44,216,402,579,785
0.161,mean,0,43,210,405,785,930
0.161,+1sd,0,42,170,297,585,785
0.193,-1sd,0,44,225,329,569,767
0.193,mean,0,44,215,573,765,930
0.193,+1sd,0,44,212,359,576,764
0.225,-1sd,0,49,217,345,565,752
0.225,mean,0,50,217,567,752,930
0.225,+1sd,0,51,216,338,569,751
0.258,-1sd,0,55,215,370,522,732
0.258,mean,0,56,219,536,732,930
0.258,+1sd,0,57,219,392,543,732
