,,point 0,point 1,point 2,point 3,point 4,point 5
0.182,-1sd,0,57,280,577,753,933
0.182,mean,0,58,282,581,753,930
0.182,+1sd,0,59,282,585,752,923
0.243,-1sd,0,56,386,540,719,931
0.243,mean,0,57,390,542,718,943
0.243,+1sd,0,57,394,544,717,943
0.304,-1sd,0,53,327,528,696,943
0.304,mean,0,54,357,528,695,943
0.304,+1sd,0,54,357,528,694,943
0.365,-1sd,0,51,285,505,675,933
0.365,mean,0,52,292,507,674,933
0.365,+1sd,0,53,299,509,673,933
0.425,-1sd,0,50,258,359,496,657
0.425,mean,0,51,262,496,656,933
0.425,+1sd,0,51,266,367,496,655
