,,point 0,point 1,point 2,point 3,point 4,point 5
0.126,-1sd,0,82,183,463,601,813
0.126,mean,0,87,188,603,806,930
0.126,+1sd,0,93,387,489,606,794
0.157,-1sd,0,96,198,311,602,788
0.157,mean,0,99,200,603,780,930
0.157,+1sd,0,101,202,325,605,772
0.189,-1sd,0,102,203,324,617,772
0.189,mean,0,105,324,425,771,930
0.189,+1sd,0,107,331,432,622,771
0.22,-1sd,0,99,202,318,593,747
0.22,mean,0,100,275,592,742,932
0.22,+1sd,0,101,282,383,590,735
0.252,-1sd,0,105,297,581,732,924
0.252,mean,0,108,297,572,723,932
0.252,+1sd,0,110,297,571,722,940
