,,point 0,point 1,point 2,point 3,point 4,point 5
0.19,-1sd,0,55,285,567,720,846
0.19,mean,0,55,286,565,721,847
0.19,+1sd,0,54,283,563,723,932
0.254,-1sd,0,59,296,550,701,882
0.254,mean,0,59,292,554,699,878
0.254,+1sd,0,58,284,560,697,873
0.317,-1sd,0,59,300,519,676,837
0.317,mean,0,59,300,522,673,844
0.317,+1sd,0,59,300,525,670,910
0.381,-1sd,0,61,272,490,666,880
0.381,mean,0,61,272,488,664,884
0.381,+1sd,0,61,270,485,661,891
0.444,-1sd,0,59,263,474,628,853
0.444,mean,0,60,265,476,629,900
0.444,+1sd,0,61,267,476,630,854
