,,point 0,point 1,point 2,point 3,point 4
0.182,-1sd,0,152,485,726,899
0.182,mean,0,153,485,726,903
0.182,+1sd,0,154,484,726,907
0.243,-1sd,0,484,637,822,936
0.243,mean,0,131,486,641,908
0.243,+1sd,0,133,487,644,841
0.304,-1sd,0,112,478,696,931
0.304,mean,0,120,452,628,826
0.304,+1sd,0,128,479,671,928
0.365,-1sd,0,99,474,618,804
0.365,mean,0,84,475,618,804
0.365,+1sd,0,76,619,805,931
0.425,-1sd,0,72,430,607,812
0.425,mean,0,66,433,609,809
0.425,+1sd,0,62,434,610,806
