,,point 0,point 1,point 2,point 3,point 4
0.189,-1sd,0,70,506,738,924
0.189,mean,0,69,499,675,918
0.189,+1sd,0,68,503,735,914
0.252,-1sd,0,78,485,801,936
0.252,mean,0,78,487,751,937
0.252,+1sd,0,78,660,808,939
0.315,-1sd,0,74,482,750,924
0.315,mean,0,75,484,754,927
0.315,+1sd,0,76,486,759,929
0.378,-1sd,0,78,641,756,930
0.378,mean,0,78,643,759,931
0.378,+1sd,0,78,644,763,933
0.441,-1sd,0,469,629,763,929
0.441,mean,0,81,468,635,833
0.441,+1sd,0,83,468,638,831
