,,point 0,point 1,point 2,point 3,point 4
0.129,-1sd,0,99,450,801,0
0.161,-1sd,0,96,438,615,791
0.161,mean,0,96,442,633,886
0.161,+1sd,0,96,446,622,798
0.193,-1sd,0,84,437,618,797
0.193,mean,0,84,438,626,889
0.193,+1sd,0,83,438,632,887
0.225,-1sd,0,68,417,649,878
0.225,mean,0,68,419,649,873
0.225,+1sd,0,67,421,649,870
0.258,-1sd,0,68,442,650,917
0.258,mean,0,68,443,652,911
0.258,+1sd,0,68,446,654,906
