,,point 0,point 1,point 2,point 3,point 4,point 5
0.129,-1sd,0,53,241,535,741,943
0.129,mean,0,50,355,547,747,943
0.129,+1sd,0,46,222,563,748,943
0.161,-1sd,0,51,265,534,730,887
0.161,mean,0,52,252,540,729,889
0.161,+1sd,0,53,160,546,728,890
0.193,-1sd,0,55,233,515,709,889
0.193,mean,0,54,263,522,711,888
0.193,+1sd,0,53,263,531,712,888
0.225,-1sd,0,49,220,490,710,889
0.225,mean,0,49,213,496,710,892
0.225,+1sd,0,48,213,501,710,897
0.258,-1sd,0,51,228,485,695,899
0.258,mean,0,51,228,491,694,899
0.258,+1sd,0,51,228,497,693,903
