,,point 0,point 1,point 2,point 3,point 4,point 5
0.131,-1sd,0,38,181,328,655,794
0.131,mean,0,36,188,656,795,930
0.131,+1sd,0,33,187,333,657,797
0.163,-1sd,0,44,380,629,780,917
0.163,mean,0,42,184,631,781,916
0.163,+1sd,0,40,184,330,634,781
0.196,-1sd,0,49,267,606,764,913
0.196,mean,0,47,322,605,763,909
0.196,+1sd,0,45,170,318,603,763
0.229,-1sd,0,53,155,583,747,910
0.229,mean,0,52,308,583,746,910
0.229,+1sd,0,52,317,478,583,746
0.262,-1sd,0,57,176,424,560,731
0.262,mean,0,56,176,560,730,916
0.262,+1sd,0,55,172,336,561,730
