,,point 0,point 1,point 2,point 3,point 4,point 5
0.194,-1sd,0,78,253,445,574,728
0.194,mean,0,80,261,574,725,890
0.194,+1sd,0,82,317,455,573,723
0.259,-1sd,0,80,272,533,702,882
0.259,mean,0,82,276,535,699,881
0.259,+1sd,0,84,276,536,695,884
0.324,-1sd,0,78,270,510,686,882
0.324,mean,0,80,269,500,676,886
0.324,+1sd,0,82,269,514,690,889
0.389,-1sd,0,74,280,481,654,883
0.389,mean,0,76,225,483,652,890
0.389,+1sd,0,77,226,356,485,651
0.454,-1sd,0,71,200,307,458,649
0.454,mean,0,73,303,460,647,890
0.454,+1sd,0,75,205,306,462,646
