,,point 0,point 1,point 2,point 3,point 4,point 5
0.131,-1sd,0,52,242,563,739,925
0.131,mean,0,50,263,564,740,924
0.131,+1sd,0,46,273,505,742,925
0.163,-1sd,0,52,247,552,728,904
0.163,mean,0,50,243,551,727,903
0.163,+1sd,0,49,272,549,725,902
0.196,-1sd,0,62,167,562,709,879
0.196,mean,0,60,167,564,708,880
0.196,+1sd,0,59,167,566,708,880
0.229,-1sd,0,63,166,378,549,700
0.229,mean,0,63,379,548,697,880
0.229,+1sd,0,64,170,387,547,695
0.262,-1sd,0,69,289,527,703,947
0.262,mean,0,70,289,526,702,947
0.262,+1sd,0,71,291,526,728,947
