,,point 0,point 1,point 2,point 3,point 4
0.188,-1sd,0,59,500,727,830
0.188,mean,0,58,503,736,837
0.188,+1sd,0,57,506,774,941
0.25,-1sd,0,59,489,687,813
0.25,mean,0,58,491,765,939
0.25,+1sd,0,57,494,716,939
0.313,-1sd,0,61,700,813,944
0.313,mean,0,60,489,802,943
0.313,+1sd,0,59,493,750,943
0.376,-1sd,0,64,688,805,942
0.376,mean,0,63,500,802,941
0.376,+1sd,0,62,686,800,940
0.438,-1sd,0,57,664,811,935
0.438,mean,0,58,500,808,934
0.438,+1sd,0,58,664,807,934
