,,point 0,point 1,point 2,point 3,point 4
0.124,-1sd,0,93,273,464,839
0.124,mean,0,91,283,465,928
0.124,+1sd,0,89,275,466,931
0.155,-1sd,0,74,449,827,936
0.155,mean,0,74,280,449,928
0.155,+1sd,0,74,284,717,914
0.186,-1sd,0,74,441,694,933
0.186,mean,0,74,441,690,940
0.186,+1sd,0,69,440,728,943
0.217,-1sd,0,428,669,823,936
0.217,mean,0,75,430,736,939
0.217,+1sd,0,75,432,740,939
0.248,-1sd,0,75,445,815,932
0.248,mean,0,75,445,817,936
0.248,+1sd,0,445,679,819,939
