,,point 0,point 1,point 2,point 3,point 4
0.131,-1sd,0,148,325,503,801
0.131,mean,0,128,504,713,900
0.131,+1sd,0,123,504,715,906
0.163,-1sd,0,173,500,719,922
0.163,mean,0,168,496,751,933
0.163,+1sd,0,164,491,744,925
0.196,-1sd,0,172,486,744,920
0.196,mean,0,166,490,700,919
0.196,+1sd,0,162,493,704,918
0.229,-1sd,0,475,657,760,880
0.229,mean,0,133,476,717,881
0.229,+1sd,0,131,477,720,882
0.262,-1sd,0,120,296,474,777
0.262,-1sd,0,133,476,717,881
0.262,-1sd,0,131,477,720,882
