,,point 0,point 1,point 2,point 3,point 4
0.131,-1sd,0,77,441,701,943
0.131,mean,0,78,439,705,943
0.131,+1sd,0,78,436,706,943
0.163,-1sd,0,76,428,697,941
0.163,mean,0,76,428,702,941
0.163,+1sd,0,76,428,706,941
0.196,-1sd,0,77,438,681,938
0.196,mean,0,77,436,683,938
0.196,+1sd,0,77,434,685,938
0.229,-1sd,0,75,440,667,934
0.229,mean,0,75,439,668,934
0.229,+1sd,0,75,437,669,934
0.262,-1sd,0,70,446,651,933
0.262,mean,0,71,446,666,933
0.262,+1sd,0,72,447,682,934
