,,point 0,point 1,point 2,point 3,point 4,point 5
0.128,-1sd,0,59,175,334,647,797
0.128,mean,0,60,341,652,796,907
0.128,+1sd,0,60,171,349,657,795
0.16,-1sd,0,61,221,322,629,783
0.16,mean,0,61,216,633,783,907
0.16,+1sd,0,60,210,324,637,784
0.192,-1sd,0,64,276,582,750,931
0.192,mean,0,63,284,587,751,947
0.192,+1sd,0,61,291,591,752,947
0.223,-1sd,0,69,250,571,740,907
0.223,mean,0,68,171,272,575,740
0.223,+1sd,0,67,177,278,579,739
0.255,-1sd,0,75,254,566,744,906
0.255,mean,0,75,254,569,744,907
0.255,+1sd,0,75,258,572,745,907
