,,point 0,point 1,point 2,point 3,point 4
0.129,-1sd,0,65,456,734,910
0.129,mean,0,64,460,727,903
0.129,+1sd,0,64,468,745,921
0.161,-1sd,0,68,452,732,908
0.161,mean,0,69,453,731,908
0.161,+1sd,0,69,455,729,907
0.193,-1sd,0,66,441,724,825
0.193,mean,0,67,443,728,895
0.193,+1sd,0,68,447,729,892
0.225,-1sd,0,60,419,738,941
0.225,mean,0,60,424,734,941
0.225,+1sd,0,60,435,628,843
0.258,-1sd,0,58,437,737,947
0.258,mean,0,59,437,735,947
0.258,+1sd,0,59,438,621,827
