,,point 0,point 1,point 2,point 3,point 4
0.185,-1sd,0,89,508,815,941
0.185,mean,0,90,512,781,941
0.185,+1sd,0,90,517,779,941
0.247,-1sd,0,80,486,766,939
0.247,mean,0,81,490,768,939
0.247,+1sd,0,82,496,772,939
0.309,-1sd,0,79,486,731,942
0.309,mean,0,81,490,734,941
0.309,+1sd,0,82,494,738,941
0.371,-1sd,0,85,484,722,938
0.371,mean,0,86,486,723,937
0.371,+1sd,0,87,283,488,793
0.432,-1sd,0,85,484,730,939
0.432,mean,0,87,485,731,940
0.432,+1sd,0,89,265,486,803
